Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta,LinPHEBanditTheta
0,0.9822789288659225,0.9857130951350033,1.0426037497519132
200,0.6088220298955006,0.6168092601586569,147.48035522900867
400,0.5556111770563833,0.6043807252242976,296.9059205505358
600,0.5249869450757438,0.5915209460738449,443.6168809751672
800,0.49627855830432593,0.5983530042503145,594.5067174256275
1000,0.46759224074147826,0.5976605463451603,745.837856259321
1200,0.46458843231446617,0.5955218614766629,896.8326821030614
1400,0.4506639437909259,0.5966570350670084,1046.3042380860775
