Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit
0,0.3188976317405926,0.466951133965617
1,0.5483516375117606,0.7746036062507491
2,0.9283867827924797,0.9614026763951952
3,1.2097218044636493,1.0678381668567178
4,1.4754961445676273,1.1676829151518846
5,1.7252895058652093,1.299953353741189
6,2.0966878994539937,1.3762078060512863
7,2.4158376763067753,1.4544700206982328
8,2.6012597360809395,1.5327322353451796
9,2.788807110649168,1.6109944499921263
10,3.035182373823642,1.6892566646390734
11,3.2138474206784595,1.7675188792860204
12,3.4147964018109382,1.8457810939329675
13,3.7238876531443674,1.9240433085799147
14,3.8447848731681993,2.0023055232268616
15,4.0672119428093705,2.080567737873809
16,4.162604352311285,2.158829952520756
17,4.257386700078074,2.2370921671677033
18,4.3702279385337715,2.3153543818146503
19,4.464880170607457,2.393616596461597
20,4.724197075866144,2.4718788111085446
21,4.8359716396284025,2.5501410257554915
22,4.969131023295518,2.628403240402439
23,5.099486945326715,2.706665455049386
24,5.294024385633696,2.7849276696963328
25,5.3951368371907975,2.86318988434328
26,5.543128114226109,2.941452098990227
27,5.650349212827401,3.0197143136371745
28,5.784877876218837,3.0979765282841214
29,5.873579052971189,3.1762387429310683
30,5.973477041399603,3.2545009575780157
31,6.0776009327868845,3.3327631722249635
32,6.187619419279807,3.4110253868719114
33,6.230906085094186,3.489287601518859
34,6.436566354720723,3.567549816165807
35,6.541079815526977,3.645812030812755
36,6.620950301159612,3.7240742454597027
37,6.801661743996239,3.8023364601066505
38,6.971594575345018,3.8805986747535983
39,7.085777547882311,3.958860889400546
40,7.137955350815124,4.0371231040474935
41,7.1957367315857494,4.115385318694441
42,7.252611896051543,4.193647533341389
43,7.300656568235704,4.271909747988337
44,7.439847802686481,4.350171962635285
45,7.546077246806938,4.428434177282233
46,7.716138834371828,4.5066963919291805
47,7.755038503226361,4.584958606576128
48,7.837883886377911,4.663220821223076
49,8.00419454314352,4.741483035870024
50,8.083731950440335,4.819745250516972
51,8.171463262336362,4.89800746516392
52,8.292262224903844,4.976269679810867
53,8.440097569185415,5.054531894457815
54,8.624528240626784,5.132794109104763
55,8.762780060976919,5.211056323751711
56,8.918283243070146,5.289318538398659
57,9.033967713916397,5.367580753045607
58,9.126653416680043,5.445842967692554
59,9.18895377635357,5.524105182339502
60,9.390152485269176,5.60236739698645
61,9.448535315321767,5.680629611633398
62,9.520280524676197,5.758891826280346
63,9.638581315506993,5.8371540409272935
64,9.65924933416547,5.915416255574241
65,9.679917352823946,5.993678470221189
66,9.69727378373415,6.071940684868137
67,9.780906801788657,6.150202899515085
68,9.843896472526122,6.228465114162033
69,9.932560567876589,6.3067273288089805
70,10.040872936948677,6.384989543455928
71,10.126745715263848,6.463251758102875
72,10.253869230374907,6.541513972749821
73,10.399017322179457,6.619776187396768
74,10.444716597471636,6.698038402043714
75,10.55486819073696,6.77630061669066
76,10.636179838299915,6.854562831337607
77,10.724485176887173,6.932825045984553
78,10.817358363100471,7.0110872606315
79,10.857147503905077,7.089349475278446
80,10.984349686281906,7.167611689925392
81,11.061903619549811,7.245873904572339
82,11.095825058141306,7.324136119219285
83,11.188517453625922,7.402398333866232
84,11.363533984785846,7.480660548513178
85,11.457844577601541,7.558922763160124
86,11.53348433581528,7.637184977807071
87,11.540124904020873,7.715447192454017
88,11.669790431242154,7.793709407100964
89,11.767078077043728,7.87197162174791
90,11.84091814075647,7.950233836394856
91,11.872808295168058,8.028496051041802
92,11.90628399722134,8.10675826568875
93,11.912924565426932,8.185020480335696
94,12.009565426444333,8.263282694982642
95,12.030353240107143,8.341544909629588
96,12.12709280270273,8.419807124276534
97,12.241543564799025,8.498069338923482
98,12.405571071064093,8.576331553570428
99,12.46471166658392,8.654593768217374
100,12.532675371086494,8.73285598286432
101,12.645336403294301,8.811118197511266
102,12.73033335243244,8.889380412158214
103,12.816210973581068,8.96764262680516
104,12.89272396006218,9.045904841452106
105,12.9580186779632,9.124167056099052
106,13.040559964302023,9.202429270745998
107,13.132923831582252,9.280691485392946
108,13.331442705980939,9.358953700039892
109,13.400825106520518,9.437215914686838
110,13.464935207080808,9.515478129333784
111,13.471575775286402,9.59374034398073
112,13.533567214123181,9.672002558627678
113,13.629360024642827,9.750264773274624
114,13.680906296383771,9.82852698792157
115,13.707947339797542,9.906789202568516
116,13.745399150694672,9.985051417215463
117,13.883472733313951,10.06331363186241
118,13.946294695073135,10.141575846509356
119,14.099314807656153,10.219838061156302
120,14.14316004159266,10.298100275803248
121,14.189256734494638,10.376362490450195
122,14.355528258881682,10.454624705097142
123,14.412483748058174,10.532886919744088
124,14.46281745468875,10.611149134391034
125,14.549722066236313,10.68941134903798
126,14.649399454110645,10.767673563684927
127,14.858047918510522,10.845935778331874
128,14.894999608082873,10.92419799297882
129,14.971512594563984,11.002460207625766
130,14.978153162769578,11.080722422272713
131,15.053409311552736,11.158984636919659
132,15.17249583161493,11.237246851566606
