Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit
0,0.29846527696684333,0.43299516649731123,0.3657097112489297
1,0.7473572824182287,0.8415790700305413,0.8553334476014667
2,1.2157536863522473,1.3064398510226385,1.2088085400219577
3,1.5417355809905584,1.8173940160261732,1.8190914116237313
4,1.9080103944225584,2.4130815703167623,2.3258997291431
5,2.2807136631250087,2.9297912159257247,2.717206904997609
6,2.5237220806731164,3.3709333304679374,3.1372805107530097
7,2.7382875966629383,3.8229744956037566,3.7083695794531977
8,2.995456624547369,4.282879727364823,4.1788061691300715
9,3.328412917242486,4.7048480004243105,4.73359830151785
10,3.4885128244874557,5.27668317628966,5.184532082270762
11,3.756768515419824,5.749248610159775,5.593296462895743
12,3.9871191499157073,6.162904333334411,6.111158242261299
13,4.211388125907409,6.62550124779249,6.605168266479124
14,4.5073281227726225,7.086456710641554,7.0875791493732105
15,4.628488881803991,7.74248799480624,7.5855638974814665
16,4.770836364991505,8.242365633182462,8.071248806400128
17,4.961834180653697,8.662730541410326,8.580807133926454
18,5.120850392319848,8.95910726510002,9.000278017386176
19,5.422128986672328,9.536180592378887,9.540055571533342
20,5.595873497189027,10.00882603693446,10.073007029484465
21,5.888510373307986,10.531204309112992,10.634187362538782
22,6.209207484316872,11.111906023086318,11.032690176406438
23,6.367429416724699,11.549152710606126,11.486408713016464
24,6.525066834570758,12.067087451800838,11.66562397693849
25,6.731351536944163,12.088280288647562,11.939277680001915
26,6.967219645585551,12.275008134225878,12.196361710209983
27,7.285098369158815,12.55189620586199,12.291400197226494
28,7.619644719698746,12.842445876897335,12.590467774039038
29,7.8253183357727805,13.171481307511453,12.694403735486734
30,8.143699202778745,13.586706537538955,12.804138043520496
31,8.344639403540544,13.97469289289008,13.02374751328577
32,8.627084885570309,14.406709120762418,13.076218277446703
33,9.117789944022672,14.849796377674924,13.192283053915258
34,9.217997047014453,15.279857805849286,13.32532918390458
35,9.318204150006235,15.692891212519239,13.401831932308108
36,9.523033532767368,16.151648650220572,13.56936556649598
37,9.797538312819892,16.612745141202506,13.669761731572583
38,9.964106733274914,17.133240384249646,13.805978501272822
39,10.203826762563091,17.63124953060028,13.96290492488492
40,10.549597699179824,18.196010828731566,14.119344953687406
41,10.835542332584106,18.695667801324763,14.214432845841738
42,11.037036528184085,19.252634768800142,14.349760174738321
43,11.237338668377701,19.852575427160268,14.552728237527983
44,11.417577577077758,20.4083641185969,14.729179055070867
45,11.550910290588318,21.066111844997025,14.855719231116542
46,11.643651060876639,21.621340168806878,14.993695546073283
47,11.83361005195099,22.302414429707294,15.16770568538131
48,11.953091103929689,22.89043403613544,15.231932262209373
