Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit
0,0.3634942153074071,0.3383055424053949,0.39932022407160767
1,0.7610051222397315,0.7169916659928259,0.7084192068895174
2,1.1214066284687718,1.13584601804562,1.0664495044775566
3,1.4328360559921305,1.3893529345069955,1.4464752950577835
4,1.6586638336446946,1.6502637263182223,1.8218114531446914
5,1.8817384717600025,2.039917316986049,2.1813070655346776
6,2.2338111080958996,2.285291595019435,2.55578118050867
7,2.490716418672061,2.589334412873223,2.957762820412806
8,2.6879215867171373,2.8721577326339167,3.3807761513883507
9,2.8909126297250824,3.097370879010159,3.668483955270593
10,3.1855684432716886,3.4343516439850945,4.045201733808581
11,3.4454762593108392,3.6015552326358486,4.453307871651255
12,3.614198988390599,3.7380886478954283,4.797019937698307
13,3.753998909474732,3.881052930004163,5.199347857532236
14,3.987538164408954,4.121409617829814,5.491307671671357
15,4.27931448220647,4.387799996613434,5.988209813644966
16,4.499126119381783,4.630546823141251,6.393095834704187
17,4.6197926117135895,4.8826729224399035,6.858980594622272
18,4.801117797626669,5.108058513829134,7.2000112424573075
19,5.028920138666715,5.308758444831815,7.606671804267353
20,5.239591533932416,5.6700823097969035,8.037945716605275
21,5.404655024051278,5.83391748784329,8.400603964975401
22,5.604685837446312,5.994466456106472,8.813489152523543
23,5.777551241045614,6.2494547432112375,9.194940567124602
24,5.985148747611999,6.480152062531504,9.604861412369946
25,6.165559680670091,6.669901474779188,9.638901627947797
26,6.389617510426016,6.8091498542497675,9.749634648001056
27,6.652819139284749,6.993221562186217,9.912356782319968
28,6.781239608264957,7.166519735698192,10.082929919328421
29,6.874250590677616,7.46189729958556,10.313598061581592
30,7.056681351001535,7.648313402925328,10.50467167622344
31,7.182069331370975,7.77014887382838,10.799820676729878
32,7.382954861058069,7.961854490659765,11.059514554033914
33,7.522974757237451,8.090309572917947,11.351072659747192
34,7.636980360748977,8.213663734227193,11.643841231640137
35,7.8013291711956825,8.451059669020434,11.848668687566244
36,8.040281795330241,8.57234397561435,12.091390543926334
37,8.22799719303369,8.818812626453587,12.46661456890918
38,8.362895622535671,8.90981545312695,12.885008597834446
39,8.483812246986774,9.065469245731382,13.152476224488648
40,8.64923301601689,9.184652932075753,13.471883309511075
41,8.911999924472003,9.34370955658648,13.823384342295409
42,9.010846498867405,9.464115232286591,14.162360926461025
43,9.183048851189824,9.659888141177174,14.622715644925881
44,9.372343635203464,9.782252770676969,14.922896497625924
45,9.44937108152944,10.09667187515677,15.214290514615493
46,9.628261051008078,10.262416682580008,15.591119427944303
47,9.715183140179958,10.350757219960515,15.90445717450074
48,9.78694820610325,10.48928275576132,16.12786437507975
