Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit
0,0.44165201428977674,0.3661696627302466,0.4253247484808734
1,0.7779477328490063,0.709964975242781,0.7859204439704941
2,1.2155419701138026,1.1117327114326048,1.2239662149223325
3,1.5773730292458548,1.4131461685669846,1.7204456619876374
4,1.9071564208109215,1.7342057403932827,2.130275233379793
5,2.1709573540319047,2.151740710237941,2.4410456139970895
6,2.4693346368836164,2.455624131000776,2.8577081224465153
7,2.775063456260459,2.7444442751283944,3.219801512452187
8,3.1329625083050088,3.049925199537604,3.532335435933031
9,3.364471657543541,3.2743933593887,3.9475322921535905
10,3.6207941330636553,3.6520563385194316,4.373334346586838
11,3.860454253590228,3.8429062759563117,4.7422427997619785
12,4.048929875237912,4.054622904185271,5.209667616558518
13,4.313507844256641,4.3863298081466,5.663352644080509
14,4.489559478946182,4.686326824770869,6.039925419484097
15,4.754692299146371,4.966813038485571,6.453840094087171
16,4.951171744466031,5.261506724090519,6.8748799255797435
17,5.247395700093096,5.504410311665696,7.208763730146536
18,5.50803286045401,5.789315176321595,7.663299588501833
19,5.687386157777469,5.991366191709153,8.015186425967084
20,5.817125045375033,6.103539918480713,8.495103633770617
21,5.99859561017537,6.305178002559198,8.941628101767252
22,6.210978104963282,6.536376056445009,9.361475379258732
23,6.571590249116102,6.702875325298818,9.764753775200115
24,6.890474036108212,6.997609832783274,10.188271069277382
25,7.110554258908108,7.217835823528001,10.203651683396417
26,7.238394251158854,7.455870802370766,10.290017905639816
27,7.502304605241609,7.539889177088722,10.454004507167415
28,7.724912892158612,7.770725295392016,10.690355286658008
29,7.937598289885328,7.952199510206779,10.910974171894336
30,8.17188863074114,8.199080939453657,11.151070209852461
31,8.358756732110818,8.307093834040744,11.382546434703299
32,8.49850969788496,8.47521321504669,11.698356481076841
33,8.710704505019649,8.578810660683537,11.969305643169884
34,8.864648945765337,8.810453423404002,12.305713505025498
35,9.030541168104868,8.958702956611495,12.654497476483444
36,9.189033026344363,9.062182231633113,12.996722936460568
37,9.374653352282555,9.203458362419124,13.338737305037267
38,9.54534458839802,9.343249410480343,13.61913009564729
39,9.758216557233792,9.465752557191937,13.940209384369648
40,10.011475456837958,9.576627461970542,14.329653770181892
41,10.270517217323903,9.812848224426286,14.708467563252654
42,10.409479108872578,9.978648669411852,15.096040571702673
43,10.576575615355079,10.158952845094264,15.54583442691903
44,10.722541018392622,10.327977394779749,15.810231980905659
45,10.875931909311278,10.569559495215982,16.105864502180186
46,11.144559479866533,10.780256815794495,16.435708191224258
47,11.347573624646046,11.048584455710392,16.764268571889026
48,11.525325638243935,11.184052375457473,17.147476456032418
49,11.712619173188044,11.29617835338978,17.476652938115304
50,11.791052896441489,11.43529599175959,17.836396551530772
51,12.02407355548017,11.640013767216256,18.15389899256604
52,12.136736273514133,11.803667537314436,18.52497722101928
53,12.313823668085222,11.878216475902155,18.837193430797917
54,12.49554373796818,12.072554637830699,19.20386273126912
55,12.617714780060377,12.275473660338957,19.53331453838579
56,12.790802277695253,12.562464636133123,19.8981004514338
57,12.911355937812743,12.656439830262434,20.29552995813478
58,13.11729665254498,12.833105375803902,20.730406020562164
59,13.278489378185663,12.909783612017904,21.143958923976683
60,13.447648883767291,13.080698025190657,21.27086430417221
61,13.644211601133401,13.28637708740809,21.447254196360213
62,13.812507067456384,13.421471433650476,21.75503522002385
63,13.972382716789323,13.648166626213111,22.102950435990685
64,14.090970804144717,13.73539798297028,22.324178073736327
65,14.188718504620562,13.801440798705835,22.495539990826874
