Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta
0,0.9676110478711462,0.9846968994234967
1,0.9531736586896509,0.969887035820536
2,0.9491098188305802,0.9476457325640698
3,0.935533084822015,0.9381750676926636
4,0.9185811300901902,0.9133070569988954
5,0.9089499012880549,0.9087628932164178
6,0.8971174535962672,0.9089722492423526
7,0.8959125998682517,0.9011870387961695
8,0.8829328979912049,0.8981970641076057
9,0.8783870247730245,0.8972346099173267
10,0.8726289875446251,0.8989743206771316
11,0.8607125189770215,0.89827665314298
12,0.856247591072291,0.8979317164447542
13,0.8627532170208235,0.8976391345085262
14,0.8612259448366905,0.8972421793466951
15,0.8545852003728704,0.8972182082199884
16,0.8529262879332556,0.8972409185477342
17,0.844553916297021,0.8973230811033849
18,0.8424824433144751,0.8972434708651305
19,0.8440942573871217,0.8972935406622554
20,0.8357539421655685,0.8972177887768886
21,0.8351616898396015,0.8973541152583431
22,0.8330300277813798,0.8972037220499333
23,0.8217846270020687,0.8971769365079394
24,0.8223148616927667,0.897155075733942
25,0.8268509471517103,0.8972569405378217
26,0.8267601935910449,0.8972544031648105
27,0.8238265160510683,0.8971724232248771
28,0.8149385299686644,0.8971732391836238
29,0.8151971792990341,0.8971503002185923
30,0.811886090737684,0.8971500494443345
31,0.8105005214098242,0.8970983874931007
32,0.812301016267123,0.8971383855413568
33,0.8079073409500067,0.8971033051863037
34,0.8076655897718646,0.8971332531369761
35,0.8077261511314102,0.8971348798477615
36,0.8055533086127948,0.8970961836977078
37,0.8050817372595416,0.8970996183083706
38,0.8035884913114666,0.8970956014435668
39,0.8033703088026547,0.897162036079515
40,0.8027297748355433,0.8936628249656751
41,0.7997563244305194,0.8926984730833665
42,0.7999811158622376,0.8926925728361088
43,0.793654765580593,0.892539253411251
44,0.7912144911293886,0.892467521963586
45,0.7914643145936786,0.8924400380806885
46,0.7936575286582855,0.8924300104546786
47,0.7972527100270632,0.8924668891921641
48,0.797312785341,0.8925478984733891
49,0.7972627592852993,0.8926184189089392
50,0.7969895659698288,0.8925492543481035
51,0.7975345620278919,0.8924620467256137
52,0.7939276159338533,0.8923772490978751
53,0.7938358719696018,0.8923673461876254
54,0.7954739548323548,0.8923606449776693
55,0.7961606060706716,0.8923777994601828
56,0.793995721421444,0.8923690749967197
57,0.794357325282341,0.8923741604555733
58,0.7872315421603129,0.8923782061523496
59,0.7773890258210218,0.8923845292765143
60,0.7778325990187857,0.89237104894977
61,0.7825508623821997,0.8923460952395601
62,0.7825729724003947,0.8923408338989208
63,0.7798276494870463,0.8923317330168226
64,0.7796900017476378,0.8923170516551557
65,0.7791232609550589,0.8923103735421212
66,0.7790942335575155,0.892307770041646
67,0.7725238034887707,0.892330223167121
68,0.7737675284077508,0.8923384924294859
69,0.7714494249410172,0.8923345595651864
70,0.7703591778471689,0.8923311521934426
71,0.7630321355828353,0.8923472829226553
72,0.755673911400942,0.8923708009645859
73,0.7566982521090899,0.8923640370829004
74,0.7557268862891329,0.8923699570343567
75,0.7568430602654207,0.8923765994298675
76,0.755776109468929,0.8923919988024338
77,0.7557772718111582,0.8923892532370626
78,0.7561493529851623,0.8923979814138538
79,0.7561683565262216,0.8923835052684419
80,0.7589201353798554,0.8923868353368853
81,0.7555627458647465,0.8924021726991531
82,0.7553846584702809,0.8924169089202711
83,0.7501964788796659,0.8924090048956688
84,0.7508166592592301,0.8923942913609014
85,0.7503724538784764,0.8923897737983841
86,0.7405951301136617,0.8923833088891413
87,0.7424411936314087,0.8923908320037433
88,0.7423326290947191,0.8923899539975008
89,0.739765364027049,0.8923960460866928
90,0.7345403821230474,0.8923816208882991
91,0.7337409619460802,0.8923743342309972
92,0.735008605431819,0.8923564134786368
93,0.7320610956529234,0.8923568820619188
94,0.7329037578253748,0.8923604500596991
95,0.7330292756053128,0.8923535745295176
96,0.7340244668222177,0.8923568938721577
97,0.7308264601673709,0.892350068166104
98,0.7320128232329347,0.8923477369229642
99,0.7332910005465565,0.8923514575533366
100,0.7270194234977565,0.8923491334444306
101,0.7270788628087109,0.8923609811805988
102,0.7208369820852514,0.8923694388550333
103,0.7029697718838126,0.8923773260182619
104,0.702694109102959,0.8923748732077827
105,0.7008788176518068,0.892373238570076
106,0.7008021560570885,0.8923600624377009
107,0.6943286994906279,0.8923622173385833
108,0.6968404113545661,0.8923722135893513
109,0.6969102811240384,0.8923724576260141
110,0.6969216707765455,0.8923723503039594
111,0.6967500602973157,0.8923733519396132
112,0.6908639686643657,0.8923734780083542
113,0.6908792830081987,0.8923839750453209
114,0.6931989517957406,0.8923853416068563
115,0.6853700532077219,0.8923747539026609
116,0.6892192263617971,0.8923764264509231
117,0.6906434613087296,0.8923884022125155
118,0.687334344224296,0.8923885680958781
119,0.6873663739343854,0.8923858902053656
120,0.6911373691964066,0.8923918264536713
121,0.691090351803201,0.8923917097245972
122,0.6911159655491016,0.8923955042874926
123,0.6898750623252131,0.8923921545081427
124,0.6911958658430745,0.8923952304741067
125,0.6909872486482962,0.8923926021808596
126,0.6876685846046705,0.8923953475209878
127,0.6818446644884613,0.8923960579837695
128,0.6767918367433337,0.8923996957343899
129,0.6757668973897519,0.8924084920015044
130,0.6759376826796051,0.8924092320781682
131,0.676745930985725,0.8924184881182693
132,0.6775275634426995,0.8924073798616649
133,0.6802363342398893,0.8924085030336947
134,0.6824012709430931,0.8924093156586597
135,0.6823444448607413,0.8924051705337984
136,0.6849190769366758,0.8924232220744731
137,0.680516786040237,0.8924263039959982
138,0.6811071420596481,0.8924419401897605
139,0.6813598117116337,0.8924386962687854
140,0.6817569168895344,0.8924371116278864
141,0.6810237531942375,0.8924383889417996
142,0.6801470194963212,0.8924380969586224
143,0.6801918981790395,0.8924457124430575
144,0.6801793366056328,0.8924431822663303
145,0.6774167051818745,0.8924461735333983
146,0.6775024961971148,0.8924427404439186
147,0.6772654812119521,0.8924395825222285
148,0.677079541945682,0.892432852358169
149,0.6757332382685379,0.8924286883573329
150,0.6740778853967264,0.8924283131398403
151,0.6618887307455419,0.8924232760178519
152,0.661364311441039,0.8924320845041709
153,0.6614909104972194,0.8924340159799533
154,0.6614520030535168,0.8924391049835817
155,0.6615009299231158,0.8924514786503449
156,0.6608989148432864,0.8924438836507191
157,0.6616407160648227,0.8924495061923388
158,0.6574431604584424,0.8924665604255043
159,0.6574283772132284,0.8924713601165877
160,0.6574305946198465,0.8924717161176149
161,0.6564590169347562,0.8924757261607059
162,0.6479963664821511,0.892473692051416
163,0.6480488795711702,0.8924693164265337
164,0.6480016518072602,0.8924733769812271
165,0.6491639330167088,0.8924621059370079
166,0.6412715330555141,0.8924594821563643
167,0.6414662628792753,0.8924590981710272
168,0.6426075906165701,0.8924591446562928
169,0.642452596318504,0.8924548598951423
170,0.6412757577985903,0.8924654576326281
171,0.6397562550309475,0.8924663999580552
172,0.6397190073824264,0.8924718254128144
173,0.63640636293329,0.8924758563366438
174,0.635431948067138,0.8924780733421027
175,0.6368761653394208,0.8924873016745144
