Time(Iteration),EpsilonGreedyLinearBanditTheta
0,0.9758976410807103
1,0.9580592016040479
2,0.9524087656593629
3,0.9477051280705341
4,0.9337113143019101
5,0.9305403281460538
6,0.8987074576959129
7,0.8972244103496541
8,0.8849549879801468
9,0.8648884589281772
10,0.8616492661001613
11,0.8559525264959487
12,0.8564029455921739
13,0.8567151767702109
14,0.8579876076258198
15,0.8566607821708837
16,0.8548802882578675
17,0.8538469697160643
18,0.8508184225169322
19,0.8469952755081271
20,0.8234311986738406
21,0.8176793210532995
22,0.7898328106299962
23,0.7834355582841559
24,0.7827701562511179
25,0.7606263161766462
26,0.7598034304026008
27,0.7576784679177969
28,0.7448572818751646
29,0.743157521690403
30,0.7419965556906731
31,0.7421404768773858
32,0.7407336170789164
33,0.7364235174607046
34,0.7322168585467403
35,0.7264621353352159
36,0.7263412865757882
37,0.7260301118206922
38,0.726184302788892
39,0.7197218256935615
40,0.7187280233638339
41,0.7078816586310476
42,0.7015640959661201
43,0.6975889526356742
44,0.6985972020970757
45,0.6978726794469146
46,0.6984164348605886
47,0.6959424532759038
48,0.6897230171754951
49,0.6896530873632056
50,0.6796935803414812
51,0.6762852173810505
52,0.6756046852776464
53,0.6761000875630555
54,0.6739072659778321
55,0.6672826573451334
56,0.6667175967452216
57,0.6642872131835243
58,0.6646262028313423
59,0.6645129504033883
60,0.6595176069158457
61,0.6578828263014674
62,0.6582892209598684
63,0.6588271854564549
64,0.6587744087227254
65,0.6568834049624609
66,0.6555263999353809
67,0.6529226434530744
68,0.6541172895020197
69,0.6514661281433788
70,0.6492899022992142
71,0.6475839069934398
72,0.6303083592904126
73,0.6294329294787855
74,0.628990107250184
75,0.6289767736159597
76,0.6300238335289978
77,0.6298425196781123
78,0.6312429148600397
79,0.6258683505410999
80,0.6258421715164296
81,0.6253550899874035
82,0.6246938170947107
83,0.6238768676428608
84,0.6161378830044171
85,0.6046158860921299
86,0.6048983063176193
87,0.6015602968532138
88,0.6015576556452632
89,0.6021172405738433
90,0.6016019987151041
91,0.6015657232926153
92,0.6000423378490775
93,0.5959222204126344
94,0.5909360926440596
95,0.5911572131659781
96,0.5911174727110213
97,0.5838940412893783
98,0.5832854226554243
99,0.5797007788576787
100,0.579558447327689
101,0.579284803982197
102,0.579285536875156
103,0.5839335746340515
104,0.5834131655126062
105,0.5739997432539212
106,0.5740793267432928
107,0.5687348380112457
108,0.5679314786524808
109,0.5676602818508198
110,0.5678442322120165
111,0.5679274253627616
112,0.5679976636847803
113,0.5683601142074973
114,0.5672928671662637
115,0.5622351249816175
116,0.561466858220511
117,0.5615082820186307
118,0.5609625226852631
119,0.5602237746137244
120,0.5602270442325665
121,0.5602190928735683
122,0.5598689020016699
123,0.5542586369341138
124,0.555231227391983
125,0.5551199021901201
126,0.5542123660905799
127,0.5542105067441158
128,0.5539295972388676
129,0.5526063329502227
130,0.552820734013429
131,0.552936070201242
132,0.5528631463981424
133,0.5318683964994818
134,0.529719076204954
135,0.5274518484153168
136,0.5270555006211055
137,0.5272003001420547
138,0.5177526314502849
139,0.5180374781977399
140,0.517269827702789
141,0.5165282251106192
142,0.5151139739033098
143,0.5137604428905373
144,0.5130380843690531
145,0.5118785338585333
146,0.5105123035466221
147,0.5093607585152913
148,0.5112844194454984
149,0.5106404694847482
150,0.5037291666629738
151,0.4968925109187352
152,0.49534331632427697
153,0.49349530752880194
154,0.49376050599551274
155,0.49397183189720345
156,0.4939905071847369
157,0.4938532254161168
158,0.49313232962624687
159,0.49325478985795074
160,0.4932103085886082
161,0.49306244049392933
162,0.4929065628876284
163,0.48551163223427096
164,0.4859992383544175
165,0.48564046154894475
166,0.48508470262678227
167,0.48513022783717075
168,0.4832553997380765
169,0.4691621342367158
170,0.4690124810375781
171,0.4688666206601459
172,0.4689175251024341
173,0.4615947958055936
174,0.4609199824668272
175,0.46094521461819954
176,0.46058400559527995
177,0.46086101352446285
178,0.46073590885493393
179,0.45963124249766524
180,0.4593865191043441
181,0.45886552875675707
182,0.4577739870975786
183,0.4569677998775285
184,0.44930897935606573
185,0.44950436366066066
186,0.44808365044173587
187,0.4480806562146985
188,0.4476750871262561
189,0.4476218190985981
190,0.449302377399768
191,0.44926838114191464
192,0.44834593085637275
193,0.44833165207720177
194,0.4485136359305595
195,0.44848692109866367
196,0.4484609667758825
197,0.4484771511359563
198,0.4485419823676313
199,0.448226895970821
200,0.4459837414877891
201,0.4460576957053749
202,0.4310156080861809
203,0.43151223277484474
204,0.4197111296773855
205,0.4208183017811205
206,0.421039305053822
207,0.42134854745299766
208,0.4207522082848601
209,0.4201992357638315
210,0.4197852033125896
211,0.41971268448743776
212,0.41959701869524696
213,0.41954276853613875
214,0.3997329609997794
215,0.39315377948522723
216,0.39299669154661526
217,0.39265231139081147
218,0.39252484744679605
219,0.39245499844734033
220,0.39238367465864177
221,0.39127325149923564
222,0.39004054806141386
223,0.38937398671802925
224,0.38940239411886696
225,0.3894758599123046
226,0.3894336612797018
227,0.38944041093538734
228,0.38944341617868783
229,0.3896996464655788
230,0.3897209230383126
231,0.3859330232830522
232,0.3859077691523883
233,0.38374300010579676
234,0.3836144396419835
235,0.3833580675969237
236,0.38339955956568883
237,0.38348419788403904
238,0.38349212013062584
239,0.3834583936903289
240,0.38341643397658876
241,0.3830658940433894
242,0.3831316667564108
243,0.38316043042235
244,0.383198426972016
245,0.3832073669060162
246,0.3831946587919083
247,0.38698216342273545
248,0.3682180681962876
249,0.3685175535086687
250,0.3681029198723999
251,0.3681028818831038
252,0.3677996473977352
253,0.36785067429618323
254,0.3590204723781243
255,0.3579913783671978
256,0.3575982939981907
257,0.35758485194543954
258,0.3564889762065465
259,0.3563006061397766
260,0.35630467120948073
261,0.3574067218197584
262,0.35692438670630083
263,0.3569107538394281
264,0.3562134011883389
265,0.35627417951181567
266,0.35737285572769273
267,0.3573615046528196
268,0.3525557319397562
269,0.35255472172650615
270,0.35256459839220977
271,0.35074531578305207
272,0.34982947002221393
273,0.3498520429424906
274,0.34985403096771434
275,0.3499955765622498
276,0.3500612920421672
277,0.3490047402081757
278,0.34253369309349213
279,0.34263906078137746
280,0.34023105607827203
281,0.3406643571342098
282,0.3416035727709417
283,0.34160227526378645
284,0.34103497109231845
285,0.34563869930704316
286,0.34564271537318075
287,0.3458619539187827
288,0.34547822215715346
289,0.34548202517478305
290,0.3432499212417697
291,0.34380734399570184
292,0.342893041156999
293,0.3432646641713705
294,0.3428748226466958
295,0.3427799287371208
296,0.34314429628247684
297,0.34228931413637437
298,0.3416198242700647
299,0.341597172909596
300,0.3414472085592247
301,0.3412596821231501
302,0.34125945058836205
303,0.3387352107498408
304,0.3365511961316189
305,0.33646164566608666
306,0.33640333570619696
307,0.33661263959541426
308,0.3368028944188934
309,0.3354616990371066
310,0.3354612959149365
311,0.3350296549024874
312,0.3346169084877592
313,0.3343925918847026
314,0.32972456020714075
315,0.3291948083634748
316,0.32933553069956295
317,0.3295153948398894
318,0.32935172411570945
319,0.32831851572757975
320,0.3273022253034003
321,0.3271664500347854
322,0.32748173853855256
323,0.32748043922568437
324,0.3273789363198506
325,0.3273713230262388
326,0.3273639499650284
327,0.3274877666599917
328,0.32754545661511303
329,0.32746111240816156
330,0.3274250571862397
331,0.32776110995713903
332,0.32766801785833416
333,0.3276663935483869
334,0.32769726708804076
335,0.32769596551951546
336,0.32741783145131687
337,0.3275908759922136
338,0.3267942486403623
339,0.32679827729119804
340,0.32674870780083065
341,0.3268111016482038
342,0.3268672471552997
343,0.3268704307383604
344,0.3275690343460519
345,0.3235471030160811
346,0.3235179563250218
347,0.32352140761177756
348,0.3235918551560346
349,0.3238349503106395
350,0.32393498958695643
351,0.323674274729413
352,0.32361118153251467
353,0.32289883734860014
354,0.3228967813164615
355,0.32233198797967166
356,0.32232186261698387
357,0.3222721224710611
358,0.3222708567440907
359,0.3218780394585544
360,0.3219217879617657
361,0.32258159180515195
362,0.32258202726752094
363,0.32245417272189414
364,0.3225335088258311
365,0.32277725398689305
366,0.3219695237676761
367,0.3219644661825341
368,0.32045767364278216
369,0.3204740933400192
370,0.321208399898694
371,0.3202645220857639
372,0.3199383628665052
373,0.32044763954907557
374,0.3204454713574826
375,0.32045160573788156
376,0.32045949356512365
377,0.3182027348808202
378,0.31427651593135464
379,0.3142692441608822
380,0.31427401711547975
381,0.3141713366266528
382,0.314130191588054
383,0.31380935575426744
384,0.31454663973721214
385,0.31284690827823575
386,0.31246995527222216
387,0.3123340548949502
388,0.31178396307927736
389,0.3118674054591232
390,0.3121093274469591
391,0.31211693937997287
392,0.3123220789672486
393,0.3086285414162155
394,0.30823757137376384
395,0.30823515675148705
396,0.3078636684612531
397,0.3079902938291432
398,0.30774024149877266
399,0.3077449325866651
400,0.30795662051183936
401,0.3079615521332955
402,0.30795620478533225
403,0.307958138573027
404,0.30796090277858207
405,0.3085714309516542
406,0.3081075881425403
