Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.4020744307158196,0.4455176073823563,0.4135805079051341,0.4455176073823563
1,0.8653663066138279,0.7959615112695668,0.9052828866927497,0.7959615112695668
2,1.1403019179165015,1.2230726245986638,1.4129358890917907,1.2230726245986638
3,1.5041873691601175,1.5198305064549413,1.7984459906179981,1.5198305064549413
4,1.9142935232718294,1.8994632141210712,2.2695181617107836,1.8994632141210712
5,2.1964268149890454,2.193274181603145,2.651339916797491,2.193274181603145
6,2.473032246761568,2.5209328424903443,3.047818535453646,2.5209328424903443
7,2.7593709496849033,2.916838201839766,3.4878643446128583,2.916838201839766
8,3.1138868522781267,3.2654820891154066,3.841985925884096,3.2654820891154066
9,3.3113480423964328,3.5959051585813406,4.104167280757741,3.5959051585813406
10,3.589549224054027,4.074203633341087,4.41840261321633,4.074203633341087
11,3.8355733915460575,4.52568262250944,4.936220201469584,4.52568262250944
12,4.184318493668817,4.945019981359805,5.4716687584509565,4.945019981359805
13,4.414490259182401,5.357021306736483,5.835957900807317,5.357021306736483
14,4.662709270293555,5.7307982681176695,6.250423959740305,5.7307982681176695
15,4.9442567570912725,6.208236348046313,6.5806007990705115,6.208236348046313
16,5.205402698435006,6.7401981920170275,6.8400912639086,6.7401981920170275
17,5.437640009674135,7.24114019023502,7.261159441191525,7.24114019023502
18,5.650180212066876,7.620812316511346,7.5203165139146195,7.620812316511346
19,5.987009031834719,8.081213675603731,7.913797137789032,8.081213675603731
20,6.187018254549199,8.443825759474393,8.407261783254054,8.443825759474393
21,6.447433195410115,8.84778000459809,8.588921390333429,8.84778000459809
22,6.66896998903989,9.18222914030581,9.008678694793582,9.18222914030581
23,6.880100351757987,9.582267171115765,9.366864109865123,9.582267171115765
24,7.121709011852815,10.014024383780448,9.663048062948322,10.014024383780448
25,7.342935944750815,10.01977695560108,9.950098727597169,10.37752140405126
26,7.539331113391222,10.132230982731743,10.096302402249275,10.660203079236775
27,7.718521763502291,10.303273301976105,10.2189423625677,10.94203374357051
28,7.9775156955191715,10.500403576271484,10.373542795126902,11.23974991765795
29,8.145530486239972,10.708329822331464,10.49477096357145,11.492190596181548
30,8.310251658695476,11.016169409827416,10.604087372443583,11.821163680600215
31,8.442422274074524,11.264292453519365,10.702055908490003,12.118173468010074
32,8.599311481218896,11.483604156229186,10.813275796080289,12.46716147173579
33,8.746398857746525,11.782320806037218,10.935837959504585,12.73502005869827
34,8.896097635636217,12.093149652462266,11.093432087106926,13.112506323438542
35,9.135401627366692,12.408190208217876,11.202350305652647,13.431340320344763
36,9.338421397597532,12.768686660947637,11.292984145176606,13.764449865087974
37,9.575161411642556,13.073021709097452,11.411918324977009,14.205523237187759
38,9.733963390153622,13.323649844061515,11.495087421132855,14.681047053580688
39,9.9057798375668,13.584780525049302,11.596555078546103,15.044348336830613
40,10.054450999496925,14.005271007202499,11.744289661935756,15.483959429156254
41,10.44341533847558,14.35663894536001,11.852361352512409,15.909977949134525
42,10.566028391118063,14.79328104677833,11.991855569887031,16.372434568054963
43,10.745903982321108,15.254638884109493,12.20960406920285,16.814838219706573
44,10.96319875357184,15.628348958838862,12.361646554901842,17.24450301546626
45,11.131541783664819,15.978316595198569,12.522182093438875,17.699807365729367
46,11.286460504089558,16.3729038746484,12.701339230413696,18.265356481747816
47,11.505403136811198,16.68205381081575,12.743479882849424,18.830971656299432
48,11.619902911049667,16.995018138832275,12.816109452642474,19.454396270337107
49,11.785337899977339,17.29772166799239,12.991551104960294,20.028048767560882
50,11.873641054305548,17.515990574010324,13.104354852354536,20.290433137434462
51,12.05751895222404,17.80705674609671,13.230560032797367,20.534724983163816
52,12.151350838685875,18.166660132986372,13.326404539675949,20.863189685442
53,12.248554518899585,18.438638288188034,13.461645057462537,21.16189751825673
54,12.35953274927039,18.807517550318764,13.61838282868423,21.507107574428627
55,12.456995562903625,19.156260602877005,13.691783650166007,21.752407777729136
56,12.647150641941339,19.430326216454915,13.834928547571455,22.118609285272928
57,12.741782059087502,19.656084735189406,13.892470593512803,22.546083722367218
58,12.854269499140392,20.035746570844914,13.991488530581677,22.836129371462455
59,12.975782535429241,20.31387028602569,14.1793303766358,23.2347330092181
60,13.132247317100342,20.50522225128693,14.287632049322571,23.58086770799929
61,13.263303870867551,20.79206868896369,14.455186799885784,23.956127812907543
62,13.484368891497633,21.072394329199085,14.609912127106526,24.359669298788514
63,13.607494455078783,21.47703188053545,14.708081933079328,24.73494585767882
64,13.77580600109631,21.755283117844574,14.8312496233066,25.147392948786
65,13.891663449547968,22.0571117130251,14.896144037448982,25.57109792710764
66,14.022545182629287,22.32366329588815,15.026460870181612,25.893439286755786
67,14.176675549256384,22.615405180301828,15.152757801904517,26.39126915771745
68,14.277976682786147,22.855364396527847,15.285273530259209,26.828983021194922
69,14.438169966328354,23.162596393680182,15.364406934244917,27.28830533848776
70,14.49484607053806,23.378701009220848,15.494595841816238,27.72999398027582
71,14.56180412582639,23.767548585400384,15.615170268132067,28.23777665761015
72,14.652077825251393,24.107029789092643,15.732892378228826,28.826809761080064
73,14.791956818742444,24.412661150896383,15.797920795378008,29.257415383762766
74,14.954859868670937,24.780113804675384,15.892221330206407,29.886829562052874
75,15.173270867180852,25.008426198129474,16.035335151965242,30.227149100525775
76,15.229946971390557,25.27810503538714,16.1176169565995,30.52247243605874
77,15.360228378809788,25.50806782556872,16.192330651291375,30.84318330322764
78,15.520239040733784,25.710858689226608,16.29750087906114,31.16292424764931
79,15.614920752291766,26.04614714230966,16.374815490248047,31.5110428396643
80,15.703323110485076,26.29080005799771,16.56394238043371,31.80874975558218
81,15.759999214694782,26.52543542754818,16.648176016330996,32.18328130067333
82,15.862369384712498,26.91134503583845,16.725701905588025,32.47724069861818
83,15.919045488922203,27.09947835783841,16.87551303575819,32.73838242774101
84,16.023881692170264,27.454612185812266,16.964480871288238,33.11193708412393
85,16.12540942017315,27.74349025417022,17.07797589925294,33.52252515672526
86,16.439714099316465,28.14278561075941,17.23990665344109,33.92576729846935
87,16.503238479566168,28.377951268283788,17.353545547033704,34.30757091914374
88,16.586108530760463,28.722198638912772,17.52647112979077,34.6719283428235
89,16.72107474916921,28.978565856975827,17.63813312681157,35.05801921426885
90,16.906147948179747,29.206582691731036,17.723234997318873,35.33641742839988
91,17.033763087659228,29.420890149330717,17.900243137353712,35.791193953357585
92,17.131879421569195,29.63610902029806,18.01947254718936,36.215570957921315
93,17.226977543400203,29.894898668266592,18.18951101271245,36.65215408050604
94,17.348125540914495,30.2164410650697,18.294779923314742,37.17668629591738
95,17.57019935681699,30.484299012263296,18.475968940703517,37.67731038467537
96,17.736673710288876,30.784861637421393,18.62387401866355,38.09911514242087
97,17.841307877159558,30.986628860764455,18.712378248885607,38.68504704778802
98,18.002019226617698,31.282320931563333,18.809475854217656,39.13407164277118
99,18.100696128610178,31.55676235487769,18.873186633013592,39.531096257261915
100,18.22328548165662,31.78162794817348,18.985600980549393,39.9455735920264
101,18.36741506363697,31.934903805336194,19.128083304834412,40.228391669090215
102,18.490004416683412,32.23223968178686,19.31771325699915,40.58731688542487
103,18.757102328255733,32.562458794205796,19.440191063306365,40.96480597061523
104,18.99423583184908,32.85456780866318,19.558348828599573,41.31291772019522
