Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit
0,0.40156806014221474,0.3622101521214093,0.3984978950159602
1,0.6503735628091658,0.793903363259462,0.715926947972408
2,0.9500480327517847,1.094763917365801,1.112805143055101
3,1.3145712773951304,1.4619296931670998,1.6005622111879698
4,1.5820903641981068,1.8339917660608713,2.119436252837851
5,1.8477642736843698,2.3194430847261924,2.5677907768009454
6,2.110002257725757,2.69041024057636,2.891320845942624
7,2.4066781000200743,3.0392183384028213,3.20040099861016
8,2.690615947371841,3.4412634606993726,3.694975492132598
9,2.8741177628782038,3.729089914389978,4.020434438195446
10,3.1483830192370723,4.157493553584201,4.30140253001688
11,3.4383278861513253,4.652142703980487,4.612452329830225
12,3.7027350631752114,5.017864414694115,5.098805590957676
13,4.0374611950195956,5.365186136279407,5.418602883749312
14,4.3105389431238965,5.743189797868497,5.794584988281711
15,4.598869129764056,6.185805604106899,6.145966104541569
16,4.803737565678297,6.414754364308644,6.390612930180541
17,5.066598741761185,6.695778561071499,6.738432535704943
18,5.32932304399305,7.147877351539913,7.207164140693967
19,5.581168034390899,7.446635378678847,7.502539307452688
20,5.878515960186431,7.8408001173984285,7.961519045952639
21,6.07907010570438,8.323661423509696,8.279835753438686
22,6.392883594735716,8.751255748462006,8.756610799152282
23,6.570859045249743,9.076661622801513,9.003910880676905
24,6.830317634453758,9.418315992369925,9.110859353179006
25,6.988020255997085,9.503784051311916,9.317172243988045
26,7.097636480582494,9.629628576082816,9.461816006470608
27,7.3713563157042685,9.745416080604578,9.615785745459087
28,7.5041875713274875,9.914025930659067,9.67775026515156
29,7.805102246878114,10.100968342535271,9.791310212264953
30,8.075837419769737,10.334888149879308,9.854748286906476
31,8.220255920829242,10.622641966162346,9.932027796952637
32,8.485542180031855,10.919256235972245,9.991024548974476
33,8.796280815840104,11.163185489893356,10.087132593728224
34,8.915538397851513,11.412524408393708,10.218713218304321
35,8.983536374378097,11.768395238414271,10.361341952601283
36,9.211480733720949,12.07181574857854,10.43749591152908
37,9.336239655956573,12.397229926629326,10.533802807508465
38,9.496185360572463,12.738200873626564,10.652885071397021
39,9.646953327437696,12.997775237780766,10.767509214394867
40,9.853213672896796,13.345214298069115,10.873995873640997
41,9.96067276475088,13.658051682659751,10.972376963342569
42,10.03937231952391,14.0100606150282,11.138604819754708
43,10.304734217658616,14.334136957098806,11.229225550149255
44,10.433010460979006,14.629528993818246,11.330868533438721
45,10.617635544973982,14.86447881547988,11.431316527310868
46,10.66005918891457,15.180857994816728,11.551609949592741
47,10.763384020721762,15.486020041244004,11.610529021240236
48,10.924582698178238,15.832791312524552,11.738727827865532
49,10.98435466548736,16.23159595972559,11.804396091550135
50,11.047328351973416,16.50409003064908,11.893008525972553
51,11.137088539360615,16.78896373467538,11.990338927092818
52,11.206974447887351,17.20839141236511,12.116262236238214
53,11.437162561316747,17.457215423523515,12.283290324369709
54,11.518303552456128,17.709150286193335,12.373579274637827
55,11.615227489224166,17.91788564213575,12.50054884762134
56,11.753627208608268,18.203024531617267,12.572106365735662
57,11.895417187339245,18.509514180140354,12.695607349916003
58,11.970785563007253,18.77456719182863,12.793448076665694
59,12.18329726092946,18.997495678862954,12.911527263832863
60,12.264060898638755,19.28604034725141,13.05807207750303
61,12.389500356749085,19.473672125649387,13.149609035061392
62,12.528311227950628,19.746386660296608,13.277800219135568
63,12.6978480901674,20.075294704083575,13.37366415073545
64,12.815445928623983,20.329763376220804,13.451678121141489
65,12.918367859409972,20.7252679695303,13.558649418318357
66,13.052329275102839,20.980237754073237,13.674917221200198
67,13.138241093996694,21.255061616684667,13.807950613651752
68,13.228266874677624,21.638081155642787,13.937109051122231
69,13.25633299153182,21.88195242484771,14.038096908344912
70,13.400749504854204,22.161623944409566,14.160929271697105
71,13.529510087058455,22.353024755744535,14.30422159661662
72,13.557576203912651,22.730269764126703,14.378609039529602
73,13.810678816951759,23.018858738426484,14.551372803193061
74,13.879819650111225,23.334922173305024,14.667430591362741
75,14.02099177149754,23.482113323075726,14.791256814279697
76,14.049057888351737,23.708394599126144,14.900983838282428
77,14.136213300930587,23.990620845097006,15.032766734161589
78,14.261111512253635,24.28546567040575,15.168804235211965
79,14.357267154577821,24.55548729193103,15.21762279294299
80,14.473283771174632,24.756017599838167,15.318689174917305
81,14.50134988802883,25.053755018641045,15.414187190184474
82,14.621890137823232,25.26500971348522,15.532510513571017
83,14.73074388848904,25.517305154287687,15.595243288887826
84,14.903032133113252,25.829486105819733,15.704957129260467
85,15.017962444630328,26.022530552575653,15.777698677555492
86,15.04047951451582,26.283697256153523,15.891827176202574
87,15.137603772996027,26.616606462487614,15.952357915709324
88,15.241912144876142,26.81910276532694,16.06215988787787
89,15.27904854661806,27.004185807256373,16.1604188043193
90,15.415328906665632,27.167819762898574,16.25963668337084
91,15.45895605900912,27.564424903054725,16.373662730070514
92,15.571274496405715,27.838656439451853,16.454452775061846
93,15.69790537225777,28.095138277105455,16.489545420651403
94,15.757331557521997,28.372786252898816,16.586046636960553
95,15.884647874734409,28.524674586630727,16.665816968604275
