Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit,EpsilonGreedyLinearBandit,LinUCBBandit
0,0.4484049471103245,0.5123499546670474,0.43525300663446903,0.5123499546670474,0.4532190629154586,0.5123499546670474
1,0.9198421548312066,0.8677846241012046,0.7961542504366005,0.8677846241012046,0.8416029617703241,0.8677846241012046
2,1.2765200674176045,1.2893643826184384,1.1746453582323926,1.2893643826184384,1.1549223469754224,1.2893643826184384
3,1.6374891745364235,1.7431573243211382,1.5634314510946932,1.7431573243211382,1.463589117366995,1.7431573243211382
4,2.109627033848013,2.1891803819031557,2.00790482298311,2.1891803819031557,1.9098146551833906,2.1891803819031557
5,2.483030120520993,2.589772021944115,2.3862008166501782,2.589772021944115,2.215229015331759,2.589772021944115
6,2.833810941638184,3.0611347547440824,2.810433591227363,3.0611347547440824,2.5920600491321917,3.0611347547440824
7,3.1231612981346766,3.507779847984574,3.3051662666745925,3.507779847984574,2.895522592613417,3.507779847984574
8,3.4361070872758965,3.967131854674636,3.639451996457182,3.967131854674636,3.2772444458384316,3.967131854674636
9,3.7327601238900234,4.408966890218528,4.035196448915281,4.408966890218528,3.6889255573853736,4.408966890218528
10,3.9820322472370213,4.81033661947769,4.460477912602647,4.81033661947769,4.0073697867224976,4.81033661947769
11,4.275277088766002,5.149535786086159,4.936899667595872,5.149535786086159,4.35070209882985,5.149535786086159
12,4.530057714564437,5.486128050363806,5.329879450853506,5.486128050363806,4.624739363032015,5.486128050363806
13,4.803612267687549,5.856004970355463,5.723330844062915,5.856004970355463,4.950836101267187,5.856004970355463
14,5.1656269240944725,6.276538143143595,6.1213894075815976,6.276538143143595,5.217117816692716,6.276538143143595
15,5.438166743259266,6.675006802520637,6.491030991103298,6.675006802520637,5.5741891281666085,6.675006802520637
16,5.721119511388917,7.10602180411145,7.062706307585197,7.10602180411145,5.825691529999573,7.10602180411145
17,6.012311942476665,7.5668508762705375,7.506746012536643,7.5668508762705375,6.104611806002372,7.5668508762705375
18,6.452324266964867,7.95960635262774,7.839140768065488,7.95960635262774,6.374687127278272,7.95960635262774
