Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta,LinPHEBanditTheta
0,0.9946502188469187,0.9574457662856224,1.1281319148203288
200,0.572308696561742,0.6057716426131036,147.22248338114701
400,0.5307251673503744,0.6002897109473104,234.33326966787928
600,0.4655849237561399,0.6010085676421166,329.57525881239155
800,0.44957175089219376,0.6058482822560041,424.6249456021636
1000,0.45511339660075983,0.6052183583871944,521.3989272972179
1200,0.4433903099926669,0.6058902396151377,618.7222662570649
1400,0.4342426536857055,0.6056588175795261,715.2568675394765
