Time(Iteration),EpsilonGreedyMultiArmedBandit,PHEMultiArmedBandit
0,0.31330213844452565,0.4578673175255331
1,0.6860876624162268,0.8558368737805815
2,0.973094911158333,1.2616592713302615
3,1.3308044488426733,1.671688063627349
4,1.7549134346672346,2.045192651749632
5,2.187056793900278,2.4136168924015795
6,2.4980266502965867,2.7745941873287303
7,2.8089028218036787,3.175519381329809
8,3.073696468891202,3.582219863692874
9,3.3608446364796114,3.837401383281674
10,3.601609744573885,4.268110338647773
11,3.86689152522573,4.650377133876362
12,4.114695151592614,5.059281229174083
13,4.331127180335286,5.5057605312697175
14,4.616296069979628,5.901038693345805
15,4.825458153976635,6.259430555199715
16,5.188807584663981,6.650608596624041
17,5.4697707041302035,6.999034765576916
18,5.780962883603749,7.413663492968541
19,6.089078379934545,7.675995672974563
20,6.294552092488461,8.054408865175237
21,6.492024403020753,8.394299223811599
22,6.6591401128603405,8.818480962367762
23,6.8409659833518575,9.137409606628909
24,7.014523619372682,9.585696195785323
25,7.273326439500257,9.9427421687757
26,7.416292334722135,10.125147947430508
27,7.729242287105509,10.402754534155795
28,7.971459738053646,10.698779932199624
29,8.120571964035591,10.984311679308316
30,8.354494035840771,11.327057960554153
31,8.47403615784865,11.699948859800886
32,8.752367991414511,12.008833858792851
33,8.972592499354962,12.30194093134376
34,9.090841460256486,12.639359570755664
35,9.221911337318248,12.910334145243471
36,9.428420009095984,13.311053185381695
37,9.577817304200021,13.595449180037894
38,9.751307484883206,13.93820708883651
39,9.888362233544104,14.356659923837487
40,10.047812499563616,14.714851293576725
41,10.227542999143994,15.172558494441926
42,10.441439858211478,15.620989168430274
43,10.55113969533424,16.075138461814397
44,10.677844709140727,16.60844349885537
45,10.815864732055989,16.972860973957378
46,11.004065287841946,17.533579029141478
47,11.153904293439577,18.122380027643327
48,11.318960521909528,18.613846359274998
49,11.526855981340754,19.17139239157066
50,11.68267356926079,19.56957708558526
51,11.781549788940703,19.849403624197297
52,11.933143479972113,20.159746727772266
53,12.040970932354472,20.452510635828563
54,12.151287087486933,20.643746623718688
55,12.284549923664517,21.07694988169117
56,12.426629804800855,21.39397716084915
57,12.611463828052429,21.78837666916652
58,12.694809621475953,22.056348785531547
59,12.85511485794694,22.33054455829528
60,13.026154759799539,22.736684690541576
61,13.090073981444032,23.07465118510988
62,13.20458333668336,23.448615821893533
63,13.288835938463695,23.797372323835752
64,13.356428608702837,24.21140514997135
65,13.595071148177007,24.47261434060932
66,13.718059169862013,24.883730977847712
67,13.86420709924002,25.322670504558435
68,13.996094623169387,25.794325596816737
69,14.170000919320083,26.18385885475571
70,14.281470542458596,26.64914771656958
71,14.400743660432761,27.105377238631586
72,14.516923504057655,27.621942216874828
73,14.69012817201257,28.16820144720968
74,14.80717073650571,28.739606841721052
75,14.915367459577078,28.94013099037655
76,14.958986161874279,29.09272296580891
77,15.07773322701082,29.364534897893332
78,15.18290553684884,29.584896809894694
79,15.289774653142882,29.940902808019597
80,15.40657932068969,30.23246202563984
81,15.46546395343611,30.62188338898063
82,15.547245928546849,30.98001448930201
83,15.636353350385747,31.252799570106454
84,15.79952479259762,31.72216549769654
85,16.014288013431436,32.08528316032344
86,16.13354511464143,32.39431993389394
87,16.23125364432185,32.76343384659033
88,16.349684482992476,33.19922147800118
89,16.415870046341325,33.603417494368806
90,16.454623416514277,34.038372577324694
91,16.525646215788875,34.413301297459185
92,16.59224636864435,34.93499729198989
93,16.753420037229798,35.317592153775834
94,16.79217340740275,35.713233509165974
95,16.883856931789005,36.19690700554357
96,17.01051782908261,36.67067776479551
97,17.118108165180818,37.189210468621326
98,17.327437142522403,37.628184486967314
99,17.52552460136565,37.96667987012181
100,17.67612464386797,38.453138709005096
101,17.743103060688306,38.752281216301085
102,17.81788926643216,39.01436849413975
103,17.89790836647483,39.419254303473735
104,17.9336920826784,39.7495791515269
105,18.05714485510687,40.06762077322067
106,18.09589822527982,40.33689602762821
107,18.166270035386376,40.59382057573957
108,18.205023405559327,40.82021968265784
109,18.28198828146926,41.12573687218537
110,18.425055584151238,41.49205637410966
111,18.532696604023048,41.81901243251612
112,18.6732387086504,42.20001825877397
113,18.756375082138582,42.5305081875756
114,18.990801722290453,42.881411199395316
115,19.1809561434295,43.28838544856311
116,19.219709513602453,43.68970201143701
117,19.258462883775405,44.16762273952597
118,19.339626170994073,44.6901140993045
119,19.378379541167025,45.08803206751408
120,19.450811454775618,45.54976644586843
121,19.629036254370742,45.94729166637563
122,19.712212430385062,46.440945048716316
123,19.815922222723714,46.76350895472707
124,19.870082062066032,47.14823132918788
125,19.908835432238984,47.56266785613659
126,19.985276463550356,47.952245993609324
127,20.112669268801824,48.4524085723256
128,20.352897302096732,48.76196105258568
129,20.467248180950953,49.06721395517525
130,20.6036382015294,49.41947538936359
131,20.675117616191265,49.67788125409875
132,20.874221581141693,50.019758078157565
133,20.98260992060725,50.35598350849963
134,21.138819309097517,50.72444514544939
135,21.229441893103825,51.00089634907625
136,21.345166641957075,51.3642903557242
137,21.403295574377104,51.80319849501531
138,21.610087423524597,52.15182212661081
139,21.753670673219638,52.48791480636386
140,21.877042946475658,52.85815031516343
141,21.981521123039258,53.203231364247685
142,22.206660535545815,53.64196853799999
143,22.272301533355847,53.842048562036055
144,22.5268151453085,54.11168497722112
145,22.603223233163952,54.47413608902259
146,22.6865566826659,54.87422563409383
147,22.77709076506079,55.25594963703819
148,22.873560841464418,55.546726909387225
149,23.00902587267056,55.915166804658384
150,23.148147316311157,56.329648186537156
151,23.21379740050812,56.65634091560746
152,23.376449014542203,57.10986494064353
153,23.44840875863054,57.407243847274046
154,23.501687878178743,57.88457223462988
155,23.617033638707703,58.30291667538639
156,23.71162320932783,58.6477462622863
157,23.83803237604318,59.11746438465334
158,23.88162771186921,59.48618743622701
159,23.937243046629487,59.85118543016157
160,24.03595843791914,60.17861655991279
161,24.234561458687125,60.53746389798649
162,24.37084424650434,60.89600569694314
163,24.50642589019518,61.26858529162299
164,24.587724962571627,61.54072197821656
165,24.69903591639359,61.97251127426235
166,24.805823879169292,62.34434061732469
167,24.858753935295262,62.621907863283695
168,24.922690707642385,62.94476675094488
169,24.955264754987258,63.312954628681666
170,25.111067688358382,63.653009827787415
171,25.217949891845386,64.08322200511961
172,25.28623429197848,64.51261302236048
173,25.410599349066345,64.8634969596657
174,25.492038619955146,65.28967505209133
175,25.583419520675516,65.66468089708451
176,25.700591916337828,66.02354836107939
177,25.817407306447155,66.43223084894814
178,25.901657825562843,66.8326571527899
179,26.04671956917228,67.18112716444767
180,26.137185770240343,67.48059351517995
181,26.278439358585253,67.77663633111194
182,26.341067900794656,68.20737810463355
