Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.35916580335793946,0.34495563412196384,0.34495563412196384,0.34495563412196384
200,29.251982511752647,30.789793871776276,51.38091540623459,26.726490460453157
400,46.76097275483594,42.040659363065394,64.68247763704687,34.64908414599385
600,60.55852109096988,48.61038601821679,70.18520750127227,39.369699402248564
800,72.32015567888641,53.44092197905054,73.8742577578195,42.80557157479286
1000,81.67440611634952,57.85454766833885,76.00778264021214,45.24188252446692
1200,92.44108996459951,60.593940849510645,77.87433523617197,47.50634973881232
1400,99.72695151663802,63.028124422700465,79.28035354901309,49.122238285102
1600,107.52557037980884,64.97814224073213,80.4588969651791,50.581734957373
1800,114.20949726877038,67.24546986578072,81.33427757558326,51.97959938849785
2000,120.50522262295003,68.7875186918923,82.07119988110307,53.043985437964785
2200,126.17544073524616,70.71986374386445,82.97426580359948,53.909572711498
2400,132.09792388769594,72.48751065426639,83.47712000161421,54.75849809463144
2600,138.590411296603,74.38121199595687,84.0989293168163,55.72236940971027
2800,144.47637416903362,75.73872287149138,84.73316652463794,56.53050880043666
3000,150.0520930488067,76.6990121487495,85.20526911149845,57.2518347377777
3200,154.80645108869334,77.73545993408894,85.7322306784289,58.01436884236601
3400,160.05561421765788,79.54042350104372,86.21669487434518,58.62768874693717
3600,165.6534623610819,80.45361230732814,86.7390758510825,59.16316911455757
3800,171.49699415675647,81.41743745146029,87.05169707907245,59.80391334983309
4000,176.24229403956727,82.60403851965431,87.35876230901255,60.446387685455775
4200,181.37930901007888,83.8819864829917,87.85760903304235,61.04589851904766
4400,186.2083559551326,84.68593661096762,88.30052878702716,61.42504038236264
4600,191.21280395876678,85.29563934602604,88.46913408981553,61.934838903585124
4800,197.20047816366184,86.14486420577971,88.65749331359811,62.426796189516594
5000,201.75308781176392,87.215163387105,88.98983729714034,62.90258769328013
5200,206.93240892110975,88.21617815327528,89.12144246331547,63.36099723715114
5400,212.13589880577598,88.8988353682588,89.48051032084369,63.795324330510915
5600,216.48992065563093,89.9865497262844,89.68257050669182,64.18261409212734
5800,220.93819206069512,90.39281611100407,90.02074712907338,64.61120276131666
6000,225.3845797779491,90.82050403750068,90.23300753900531,64.91788029401438
6200,229.97877835273704,91.46324426107307,90.40226613247712,65.23206118910173
6400,234.14402741168388,91.83528756445969,90.59925568190805,65.68230735553252
6600,239.3243848962214,92.572676433966,90.81906140986193,65.97030241634856
6800,243.20452554440462,93.40129104398997,91.10147379073062,66.2962734447947
7000,247.42388306356602,93.73007385919617,91.32207868790594,66.65582215634998
7200,251.71916791528912,94.2569399293824,91.63840005937051,67.05762893060125
7400,256.3322105650841,95.14825395923094,91.83950945948484,67.28798759462583
7600,260.03724007384017,95.91134704602047,91.98140779768421,67.62188412622439
7800,263.6027900278142,96.52933055924683,92.18910105375383,67.91308703603134
8000,267.3644784641774,97.11117245955839,92.32509331720125,68.30558493030068
8200,271.20158790802293,97.53001946608552,92.44295064285184,68.67140672540134
8400,274.81618671775925,98.01006567512857,92.54383925212332,68.97048182530305
8600,278.5304681342161,98.37240214521384,92.74031171946072,69.15947823475099
8800,282.2590375892431,98.91028347330703,92.93811833594604,69.46652732655022
9000,285.5129688426143,99.2628515249671,93.02164501747788,69.80112678452961
9200,289.6950196703432,99.59170159787826,93.21242675149672,70.06879772461689
9400,293.79213435500196,99.71684510677481,93.57035819436422,70.26485010318959
9600,297.77055281619585,100.1062199035285,93.80304421083822,70.49555113319724
9800,300.6951312830783,100.45935323489248,93.92754282668383,70.67995277612113
10000,304.404193517778,100.81751759202817,94.09621271072815,70.87904579573467
10200,307.87986695347115,100.96680865040774,94.19438340986413,71.11783030903578
10400,311.6496401497217,101.21541965151475,94.23154425768064,71.30243694253241
10600,314.6181542675219,101.44690832544447,94.39955052703685,71.52778399073387
10800,317.83827823191194,101.77433992473553,94.58083436830807,71.70514803158082
11000,321.51680010711743,102.11178918189657,94.70803200838654,71.94550260131976
11200,324.9291117979839,102.36814879988125,94.9112984762908,72.1256653789541
11400,327.7890012760829,102.69864079383399,95.02305926419108,72.43333812431183
11600,330.31794425422174,102.81656564216189,95.15674852892616,72.5200257603234
11800,334.0719680996578,103.20188747440557,95.19563366482218,72.77404219118961
12000,337.4132286612768,103.50497378279665,95.2596342483338,72.991318643511
12200,340.50751772891874,103.83108953133907,95.41602662350907,73.13282996812669
12400,344.0111664317321,104.02988651408899,95.4889863541374,73.32654503149396
12600,347.0289637261321,104.26044090904016,95.55441558075357,73.48616308249832
12800,349.923046787243,104.6124729884697,95.6161326282819,73.71310250687145
13000,353.0039753340551,105.00402469582627,95.74497635013512,73.90125870294688
13200,355.78187888380205,105.3310393309951,95.91558338847666,74.08874753489363
13400,359.1249945072211,105.48684024866972,96.04396964652896,74.27693449514229
13600,362.7038875497007,105.76862684133926,96.1693849932204,74.41844339317825
13800,364.93346175396204,105.95796105228729,96.19833822950145,74.56836784228396
14000,368.0740182185423,106.04624447885502,96.26874143566585,74.71951754148229
14200,370.40754107483536,106.24107927441177,96.29309579807561,74.84943270963552
14400,373.3544247962312,106.46912415148088,96.33107456315423,74.99293682808351
14600,376.67495243428806,106.6080616873617,96.4319492598932,75.12525616601629
14800,379.4434811063401,106.75085132686347,96.51107013929165,75.25283292531586
