Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit,LinTSBandit,LinPHEBandit
0,0.20104186743149133,0.29698305953578114,0.43882014842452477,0.43882014842452477
200,20.096462652668517,15.121031950795683,12.760662616902657,74.0367885137868
400,31.209745774335925,16.92556443313284,13.604143841035324,147.3370763433505
600,40.175063760262155,17.94567601636946,14.123980730122431,220.760594867609
800,49.09696134619899,18.59741040630063,14.4061473077162,294.24736544920427
1000,58.28931194684852,18.977727056144907,14.637172961462927,367.5801751096615
1200,65.94842586981346,19.085903468019016,14.864944947536447,441.03539813667777
1400,73.25178720115956,19.345016903255864,15.23778557915791,514.3544537229434
1600,80.14435712162192,19.759473793747013,15.47509527691481,587.8765886539462
