Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit,LinPHEBandit
0,0.38350271882233883,0.45811173954786816,0.41878086751861127
200,24.519946620702505,15.256922661942976,71.63416771162984
400,37.10734973017439,17.43642583108268,141.45270341240342
600,46.58113808898382,18.144985746861842,211.30680454091848
800,54.81937679814462,18.847940760591356,281.3027096193627
1000,63.19908581567455,19.52610634593007,351.10537868471135
1200,70.54315140873204,19.888687615426257,420.9352489036336
1400,78.07991730526237,20.12928657052948,490.7384686591482
