Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.41149237268979083,0.410297090928,0.45246690044624377,0.410297090928
200,24.46383538460713,29.797539645173366,51.28110777119754,26.108510527553147
400,36.39229082782311,39.31088288295796,64.28898865650885,32.50978017389468
600,46.78061248422617,45.075023102779284,69.2958678521776,36.19906875126641
800,56.13909334398128,49.73786950561889,72.37699341542073,39.06269364077726
1000,64.41603573108385,53.217276831392226,74.7346228599587,41.307032566489816
1200,72.00023303876497,55.95246938099804,76.39233860975493,43.53030053927694
1400,79.9897766976952,58.47457333868183,77.51355223964855,45.10396232377046
1600,87.72600376262736,60.831344672536105,79.1472560239797,46.50791120034084
1800,95.34563492470885,62.39782731758148,80.12970530290275,47.47818409466559
2000,102.12486001016255,64.05957787097131,80.89561317872564,48.57166460918975
2200,108.5283387570253,65.99536576246466,81.52893889533131,49.47256181014377
2400,114.0940991672962,67.56055717192541,82.3694436971792,50.436551386798875
2600,120.16962943606617,69.15129455873662,83.22191697473988,51.3990305966816
2800,125.49062039514214,70.15705293336819,83.85007143557078,52.14247220261473
3000,132.12518503073147,71.67636489176864,84.33429530433666,52.94516654446145
3200,137.70757650431557,72.4846701505979,84.9084312682383,53.678830911722216
3400,143.05325586714042,73.43721938958019,85.38015806556066,54.18252185422032
3600,149.33662709752403,74.51629490214913,85.77264599221313,54.804984684999695
3800,154.75696334717003,75.72749237533978,86.26275546287025,55.408301838318515
4000,160.29588034579507,76.67806980245973,86.62572371821844,55.909880492500086
4200,165.67802478210527,77.63759131251089,87.05209697432365,56.39383728658561
4400,170.9707510216048,78.3407479982871,87.49684589322291,56.9215992461764
4600,176.10939341527532,79.2683924658916,87.59243134896955,57.38008804783591
4800,181.22066647304774,80.1713023309427,87.95277607237918,57.944578886371104
5000,186.6005037425282,80.91369424597636,88.3088526097426,58.28360948917792
5200,190.3856024987644,81.82124317733604,88.61441489774847,58.74018046853257
5400,195.1273433076759,82.68665232956101,88.87891440316835,59.19495828110648
5600,199.68729078546465,83.672564398614,89.04972201929687,59.58007153712263
5800,203.7261057872024,84.33455322147451,89.18498615408242,59.93992022429245
6000,209.32064648200588,84.93591318982972,89.39577336964041,60.35030645521207
6200,213.78590747971265,85.57010824040881,89.58463534059364,60.7677563686918
6400,218.89708236523825,86.23491907669356,89.78756539937817,61.12156738832592
6600,223.99191191936097,86.8447882440169,89.98652972842027,61.59821266024572
6800,228.30573999391245,87.16890618972964,90.2580210085508,61.93353501976536
7000,232.49106210362442,87.79898255015661,90.43650961948333,62.338085731998795
7200,236.60405490196112,88.61581700529963,90.61503220711478,62.55895112490949
7400,241.0783033502061,89.11034865406012,90.74156247892617,62.86659320810385
7600,245.30199333719946,89.54169809797818,91.0753026220015,63.217677020388734
7800,250.17344943864813,90.0963101880917,91.26740005577426,63.575450902086914
8000,254.9079354661772,90.46849476330539,91.48005708075281,63.816334586825135
8200,259.4124597647308,91.07419798932577,91.63650015799446,64.1163339111077
8400,263.7386339487151,91.90350732362226,91.88578023071608,64.42995416556718
8600,268.18141160973295,92.43667158408877,91.9905297142658,64.66870056930689
8800,272.7813584411039,92.82454394284807,92.11167071424765,64.94219374782963
9000,277.0707988808731,93.11387467695275,92.15072355327537,65.23990483236989
9200,281.05540691665675,93.28897363597432,92.37599088484819,65.51204106740781
9400,285.4448281119202,93.6441870592557,92.59540561005198,65.72284082403448
9600,288.9745994587587,93.92367246412812,92.84100697957444,65.98510161733628
9800,293.023862250128,94.47993876633097,92.9630691209313,66.2564514899101
10000,296.71719699705574,94.72512720017968,93.03378785896236,66.45265323131596
10200,300.82561504502894,94.9381794240123,93.1276870427069,66.75637642367337
10400,304.66465459196775,95.23037237617515,93.22743360713102,66.95087202009191
10600,308.0184026589674,95.53241601130081,93.24458087171725,67.22063154480591
10800,311.69427168961096,95.97123241089017,93.29757911501471,67.40627905392293
11000,315.46224596287294,96.4420562376743,93.51709585162591,67.65195616836002
11200,318.81650854731004,96.70020144977022,93.65527238063329,67.89763222634333
11400,322.1600268414039,96.8625890314386,93.65871280404586,68.11802799347019
11600,325.851335396106,97.11451415930142,93.7214694459372,68.37621586649973
11800,328.9257781239336,97.61169876004021,93.74490059039469,68.60055520921793
12000,332.5099017915757,98.09528332572873,93.89591236036149,68.82077143702374
12200,335.49911771497693,98.50163078459087,93.98140076351442,69.03791521474795
12400,338.36994438211616,98.68744120550383,94.03199964007177,69.22869973797934
12600,342.22279322052384,99.2232524833226,94.22425015770708,69.37774617705612
12800,346.0565067975806,99.74528498853793,94.29035290872808,69.55796915951274
13000,349.7286975607093,100.21121400210413,94.36163174974138,69.73091651050666
13200,352.30361095632946,100.60811342035569,94.3848578637172,69.91082639477173
13400,355.10522978727255,100.85614390600185,94.47566919579022,70.08076468362866
13600,358.17512016134486,101.07323694580607,94.69710255331158,70.2820430873909
13800,361.6966963499396,101.24919752586,94.79767237811932,70.4562019168551
14000,365.0867274552842,101.41827751754384,94.88263696500705,70.69308845032995
14200,368.6388030236087,101.82245270468671,95.06483703611099,70.88430178064729
14400,371.77097525291606,102.19309532821947,95.1889075416087,71.04161178544204
14600,375.71369803487175,103.06836116771767,95.2283146880888,71.17714384326979
14800,379.68438215371384,103.41003727583738,95.32282443158394,71.31418244978585
