Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta,LinTSBanditTheta,LinPHEBanditTheta
0,0.9649704948182816,0.9919157704013,15.082356592718245,1.0437870812899075
200,0.6972112872767315,0.6073665998806799,3.575424800780424,184.13303480902763
400,0.649448929006744,0.6019547322441419,3.3486945387529685,372.5787475040435
600,0.5804811610276862,0.599011633852777,3.6201948828282537,560.3716460263682
800,0.5501014004690465,0.5968571528971807,3.7251786722906113,749.0615772869812
1000,0.527934509148037,0.5964109337738697,4.341263051211495,941.6426802257374
1200,0.49748315495945433,0.5960928644218373,4.082782084484005,1131.4090482000324
1400,0.48069939614198554,0.5962637312195291,3.0212873087184926,1319.743443993501
1600,0.4543922301099375,0.5976685051871493,3.6125870798269117,1512.3504481297236
