Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta,LinTSBanditTheta
0,0.984981538456706,0.9853604961883422,15.851936408486974
200,0.6300826311977725,0.5531964729145946,3.3427015271379807
400,0.5913034169642417,0.5582089525686433,3.068594194596451
600,0.5465927746081398,0.5508870898876103,4.169238698834043
800,0.5021694498125634,0.5456261802326217,3.145427684737238
1000,0.4826517129746108,0.5461896832833572,5.077802994264264
1200,0.455071980304589,0.5472662533183951,3.504296951702744
1400,0.43592497737445346,0.5494603730539678,3.951161929555829
1600,0.42181847113112775,0.5490987377407012,4.673903423134204
1800,0.41249381680373237,0.5481577457943242,5.223573889147135
2000,0.4076883477526261,0.5484179197944355,3.4294988642668387
2200,0.3982436279593769,0.5485119354383398,3.174080139271986
2400,0.3995602498244883,0.5484992312812729,3.4681205320668007
2600,0.39481932240003054,0.5483781055882282,3.8036841432854502
2800,0.38708098976693894,0.5501361373095731,3.7451871139184143
3000,0.39319126454416353,0.5507850945301561,4.556285668922645
3200,0.3878889335605003,0.5495555555998142,3.7664526163334946
3400,0.37820286521264723,0.5491052976741602,2.9713693967053665
3600,0.36748554209006046,0.5491122543238578,3.5959373860965393
3800,0.35963081716159195,0.5491679641027101,4.058242180995933
4000,0.34492724561927524,0.5483602886754968,3.320545972724679
4200,0.34359251442005706,0.5482959609903786,3.3032617210222206
4400,0.3456269541771174,0.5483519589221207,3.227709080230425
4600,0.3417806875071066,0.5483380240405988,4.215530613583466
4800,0.34583776095593877,0.5484169875070006,3.232595989452482
5000,0.34728166842797015,0.5453562586502947,3.470075696575324
5200,0.34248245378914804,0.5453808110862954,3.7514956378784645
5400,0.3425452622719173,0.5454510472562981,4.572177928862871
5600,0.34092668976390617,0.5454227452472269,3.5477890957609346
5800,0.33596761362826255,0.5455056355867183,3.5590120406617745
6000,0.33287843536836625,0.545511575470296,3.9560326462704047
6200,0.3380714161533777,0.5454418981208128,3.622722102177215
6400,0.3340746726374208,0.5454873714229757,4.249757350651616
6600,0.33545673350625665,0.5454895010005504,2.879864663749653
6800,0.3399641495891209,0.5454899150978614,3.9771812584456505
7000,0.33062900517969046,0.5455297204943859,3.8816543638785594
7200,0.32977422620213426,0.5454882685543534,3.4274313851594966
7400,0.3259923467409472,0.5454673795248458,3.3399704950837417
7600,0.32172971664111194,0.5454409655159524,3.231718088069673
7800,0.3172832661738384,0.5455504863789649,3.198082785928693
8000,0.3233368321929854,0.5454670762291234,2.7640736571565596
8200,0.31745137859955175,0.5454420961632457,3.4689677858803796
8400,0.31580109657701516,0.5451583969417217,3.420304282215107
8600,0.30799323469196643,0.5451596512310719,3.2722353698781403
8800,0.3048853717411866,0.5450474571812682,3.2316915226877105
9000,0.3008007155227732,0.5450620879490431,3.5693139923579205
9200,0.3071843994909135,0.5450622764160342,3.7061733290648555
9400,0.30263641450123474,0.5450631174783103,3.569470288746159
9600,0.30830856208778196,0.5450974567119697,3.529330099619963
9800,0.3046833271054747,0.545118876257788,3.339669105702316
10000,0.30610754919919103,0.5450790859633263,3.093302196293928
10200,0.3035844722307651,0.5450569598541251,3.6953295113311926
10400,0.30216872992424665,0.5450858384721204,3.380614182287842
10600,0.2980938133945998,0.5451636445905768,3.3150244609603865
10800,0.2946207302374126,0.5451788878754507,3.804494549170962
11000,0.2970730729830152,0.5451035818062526,2.734941393515052
11200,0.2943928537612845,0.545093689404089,3.430261887352259
11400,0.287503439955782,0.5417297996506221,3.7844155391857535
11600,0.29218324768119597,0.5417268298547349,3.6658873292871803
11800,0.2942413189344141,0.5417282259414168,3.6317403978471687
12000,0.2956503818479797,0.5417200782347085,4.627779607251186
12200,0.2963465458497348,0.5416973463125145,4.323484291497031
12400,0.2994065481859769,0.5417335829705967,3.0077534212521155
12600,0.2962127201794791,0.5417351029136045,3.9308623868133075
12800,0.2947592713127389,0.541728402116543,3.643090329345192
13000,0.2951646690938735,0.541718382626841,2.642546582303164
13200,0.29423597764734555,0.5417306818890475,3.1143621003187496
13400,0.29055679109318994,0.5417535432414313,3.3734680820091443
13600,0.28979598839182047,0.5411838149362015,3.6489631967792597
13800,0.2859146946522088,0.5412015487632624,3.9469985152424107
14000,0.28744458628178393,0.5412140617208863,3.0992863224354625
14200,0.2902953663289146,0.5412260072420113,3.262230694600259
14400,0.29454922193588595,0.5412194631603888,3.989713935269318
14600,0.2945055438587932,0.5410238390618456,3.3986709977367786
14800,0.292848321494214,0.5410336430783531,3.595153782903457
