Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta
0,0.9898981642342747,0.9832727195072222
1,0.9738692654402916,0.9751440916509647
2,0.961483285894273,0.9487823484621115
3,0.95224897437359,0.9546875838371026
4,0.9446223465989292,0.9508644912255588
5,0.9393551687197167,0.9457811104105094
6,0.9299586268222718,0.9438838610657585
7,0.9059027950259854,0.9417671434847256
8,0.8964670659011056,0.941357455424501
9,0.8794151306987803,0.9411865882560692
10,0.867078754768419,0.9408793703060894
11,0.8647102764890524,0.940607019027459
12,0.8592727353439672,0.9407576012405263
13,0.85497656428494,0.9406198040416273
14,0.8506777139016887,0.9404376894955918
15,0.8448842219311727,0.9405063537535462
16,0.8216022717654743,0.9403817278453289
17,0.8234574604739369,0.9403474296052485
18,0.826451523942174,0.9403609664239052
19,0.8263768952011462,0.9403806123328364
20,0.8208194932080163,0.9404121663081995
21,0.8166474507575744,0.9403735477959312
22,0.8172522618320421,0.9403369372731291
23,0.8175948820848127,0.9403798850826668
24,0.8016501659552471,0.9402862803922842
25,0.8007716350088329,0.940226129635038
26,0.7989176956510236,0.9402232578195345
27,0.7928773338648284,0.9402641098350992
28,0.7835045672368163,0.9402952622513142
29,0.7623407972032938,0.9402935432274016
30,0.754196101023981,0.9402529418821274
31,0.7477245150204656,0.9402935428933643
32,0.7454867870833367,0.9402829445264302
33,0.7454663885842928,0.9402898803742593
34,0.7396329781040142,0.9402741345747444
35,0.7397300335881372,0.9402476456793011
36,0.7353475742807072,0.9402540877179293
37,0.7389577606507748,0.9402190694548176
38,0.7477794221394819,0.9402023418764868
39,0.7358639564569677,0.9401568290537548
40,0.7344344395127546,0.9401545326406608
41,0.7342764209463633,0.9401336515930863
42,0.7300966024008201,0.9401253903626119
43,0.7307902202647865,0.9401220696773139
44,0.7294581937238465,0.940111619889807
45,0.7256707416300461,0.9401015256698566
46,0.7189369286594159,0.9400971793092445
47,0.7183752741208518,0.9401110590464812
48,0.7178105456550952,0.9401090343564809
49,0.7151339643905558,0.9401181916663945
50,0.7122586164514965,0.9401196701456069
51,0.7127526710935538,0.9401080570825412
52,0.7148240839518291,0.9401064800575689
53,0.701085684501745,0.9401097136476133
54,0.702209364833432,0.9401070014480153
55,0.706400488014451,0.9400967924651848
56,0.7054057653404013,0.9400998390918577
57,0.7066372189545239,0.9400969817050522
58,0.7093185761190737,0.9400982384093066
59,0.7085672303353786,0.9400967187380539
60,0.7057463336620393,0.9400986079754651
61,0.7015588649592704,0.9400901747900751
62,0.699138591820987,0.9400914732006566
63,0.6915768384997214,0.9400984836492308
64,0.689732131549474,0.9400911100912621
65,0.6919646256634018,0.9401006989049872
66,0.6696593926802527,0.9401070960441688
67,0.6679209252959118,0.9401187521245701
68,0.6580580626012169,0.9401299481782474
69,0.6569588142680325,0.9401331009081744
70,0.6574796231698647,0.9401402956597004
71,0.6531124171607121,0.9401441373630369
72,0.6522793456114753,0.9401518704652144
73,0.6518591365570308,0.9401487435794993
74,0.6513508844746889,0.940155618299673
75,0.6486026070431197,0.9401552789595458
76,0.6484478400006847,0.9401550310313727
77,0.6502841445196829,0.9401644266404116
78,0.645617079616107,0.9401688971766046
79,0.6479769082167481,0.9401619277601864
80,0.6459207799803736,0.9401612160496204
81,0.646213146354176,0.9401668875387597
82,0.6434900795388037,0.9401586746955489
83,0.6320143138838066,0.9401559025002688
84,0.6320826608750826,0.9401556676476513
85,0.6381989449312447,0.9401657164884633
86,0.6377401609518157,0.9401731486465057
87,0.6380952553735761,0.9401775152106966
88,0.635384624964313,0.9401746734321458
89,0.6331291956998808,0.9401782279694686
90,0.632615954685706,0.9401919032339793
91,0.6206590114540445,0.9401935571699559
92,0.6202775035820232,0.9401970232412626
93,0.6200029310504221,0.9401940757558614
94,0.6208764790963527,0.9401922005641818
95,0.6190891501866183,0.9401902840367203
96,0.6186822588080707,0.9401908499924652
97,0.6175399541091278,0.9401949293305394
98,0.6218606184866087,0.9401986947361655
99,0.6179676002051966,0.9401930809565059
100,0.6175603285528821,0.940199967129573
101,0.6176811060019871,0.9402029134103131
102,0.6161981782145661,0.9401973775669559
103,0.6170168095952417,0.9401983236247903
104,0.616001589535855,0.9401885993183392
105,0.6161677460606025,0.9401807158400498
106,0.616875130032292,0.9401826288173929
107,0.6257671574189468,0.9401824147778486
108,0.6411172594675871,0.9401974584289657
109,0.6407726821233357,0.9401986488903928
110,0.6414258946956579,0.940197843172457
111,0.6410982608412044,0.9401913574353976
112,0.6408122647527834,0.9401968942610879
113,0.6411628047867556,0.9401926473349393
114,0.6429217630155711,0.9401991986128124
115,0.6449903377045713,0.9402071358102069
116,0.6344105892506625,0.9402055663278978
117,0.6379674555781903,0.940198017264431
118,0.637115386853548,0.9401937424593646
