Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit,LinTSBandit
0,0.445026761007278,0.41569794400138455,0.33437129787598585
200,28.176793634508687,15.982631409075239,13.153831282197487
400,41.71870353300932,17.280545322695744,14.301503556950882
600,51.73971184631522,18.216334995952163,14.775190308662207
800,61.32195164321871,18.87509740637511,15.161598687558703
1000,70.47351142222922,19.150791611627774,15.518567721022475
1200,78.92625100328625,19.369118337253788,15.888122261515724
1400,86.00334365914829,19.67212452672576,16.291899767115773
1600,94.23472183431952,19.732216300630437,16.422484739469635
1800,100.94029777242744,19.92865562689305,16.608918071792424
2000,107.46971733323196,20.269774749166313,16.768321599630454
2200,114.07709738395053,20.30872884617023,16.925753985053852
2400,120.1690153059138,20.44523384989224,17.060492967594882
2600,126.79126551406155,20.507416972069155,17.181256869898327
2800,132.71925195340194,20.616261657980235,17.29936808602762
3000,137.42169185567778,20.806501764702592,17.322630037453038
3200,144.17477121588942,20.934525717661323,17.352641569551817
3400,149.51869590994792,21.119828149768168,17.43966525616548
3600,155.12336165355896,21.25149805735823,17.500133296407192
3800,159.89138968848016,21.25149805735823,17.558668485300565
4000,165.84763606150597,21.314163374079587,17.586723720798155
4200,170.76108108135492,21.314163374079587,17.64813210011194
4400,175.44340440767718,21.317375693366966,17.75614553958963
4600,180.3227798546174,21.317375693366966,17.768373739129103
4800,184.57148919110745,21.35826038313254,17.88339869398935
5000,189.3673690856635,21.43671551196811,17.956863821858683
5200,193.85391226247552,21.43671551196811,18.037298051962928
5400,198.2086154240492,21.43671551196811,18.06564889302765
5600,202.6410303879272,21.43671551196811,18.0697488741183
5800,206.13035056866556,21.43671551196811,18.09883237426839
6000,210.3557301262164,21.43671551196811,18.142952834860523
6200,215.4670112625941,21.445016844325917,18.14405621004912
6400,220.33402245933425,21.445016844325917,18.164858794358643
6600,223.78769645699782,21.445016844325917,18.182584288939193
6800,228.66308924863384,21.445016844325917,18.24831266841583
7000,233.18712869306233,21.445016844325917,18.311032435953422
7200,236.88496086342616,21.453318176683723,18.361185534146035
7400,240.84069845952212,21.453318176683723,18.425642912899498
7600,245.0435211528448,21.453318176683723,18.428639518801553
7800,249.36723311120463,21.495100225351116,18.432739499892204
8000,253.5301230766626,21.649581083138784,18.48184820020882
8200,257.58130039878426,21.649581083138784,18.48184820020882
8400,261.4740470026687,21.668404724998958,18.490149532566626
8600,265.84188260796424,21.67392160094193,18.518065332639353
8800,270.2898818985009,21.684110362863763,18.60515327029541
9000,274.02257368346073,21.684110362863763,18.60515327029541
9200,277.49415233602724,21.6973508651269,18.640701601454886
9400,282.016297203059,21.6973508651269,18.65238489852831
9600,286.238061377117,21.6973508651269,18.65238489852831
9800,290.07408983795364,21.6973508651269,18.65238489852831
10000,293.75591744406233,21.6973508651269,18.670061407405846
10200,297.9453568268038,21.6973508651269,18.712957809596915
10400,301.3820599126468,21.739318872741972,18.742196926847985
10600,305.60496073212596,21.78830649634255,18.832690022066814
10800,309.48275808792175,21.797133497851306,18.838611490138447
11000,313.31143141760526,21.829256690725103,18.84801619768485
11200,317.1627610448414,21.83777017257013,18.909553475272272
11400,320.9157431959844,21.974111891288405,18.942640643562594
11600,324.7236344660265,21.974111891288405,18.96154999715866
11800,328.17081801539103,21.974111891288405,18.9865730478675
12000,332.6303224932677,21.974111891288405,18.987676423056094
12200,336.23942067718934,21.980732142419974,18.993597891127727
12400,340.74542539930104,22.16082215836902,18.997917054905493
12600,344.3759221079862,22.16854578468918,18.997917054905493
12800,347.7164491088642,22.16854578468918,19.017057741323104
13000,351.2851817582588,22.16854578468918,19.059433396603094
13200,354.35320500678137,22.16854578468918,19.059433396603094
13400,357.6693779156893,22.185552261622743,19.059433396603094
13600,360.72975940221124,22.22456687737302,19.08718892411462
13800,363.3161189520717,22.22456687737302,19.1175891304183
14000,367.0935532246948,22.22456687737302,19.1175891304183
14200,370.1700998108247,22.240085621576384,19.137573759849527
14400,373.65420447506176,22.244185602667034,19.179377399553992
14600,377.01235163122504,22.379103012736984,19.198505935837176
14800,380.04201005187406,22.379103012736984,19.202605916927826
