Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,LinUCBBandit
0,0.5508182708486812,0.5089252143470008,0.43576506430141915,0.3589412614933467,0.43576506430141915
1,0.8907533133909287,0.9672232278368849,0.6996711854514115,0.8524355598809666,0.6996711854514115
2,1.3931169518819675,1.3092409156160512,1.1329009914307275,1.1322292046246791,1.1329009914307275
3,1.750675926349657,1.6439800941474012,1.6075336370458764,1.6039444276743762,1.6075336370458764
4,2.1414009549864383,1.94519491617601,2.000412179148687,1.9944991640750616,2.000412179148687
5,2.5813782673353023,2.227872479719837,2.4805515778570437,2.447988143472071,2.4805515778570437
6,2.8810886318875992,2.5947232778495484,2.907760068830592,2.8604228070706084,2.907760068830592
7,3.2210916768333617,2.9358634055432695,3.347028261871661,3.27684632487646,3.347028261871661
8,3.635034230688155,3.157767001044142,3.808770325592807,3.6755841287197746,3.808770325592807
9,3.9555041803716575,3.531950081893283,4.254757734715839,4.180613474759594,4.254757734715839
10,4.382669797558082,3.687529884576029,4.676327117505071,4.666060906559088,4.676327117505071
11,4.667814138588184,3.9093233405744976,5.043229790012933,5.036293052797353,5.043229790012933
12,4.9425452004406765,4.163190031650417,5.492374621772076,5.444897555911739,5.492374621772076
13,5.234217738340248,4.425269248594086,5.770344689660788,5.961702775285508,5.770344689660788
14,5.48660130743463,4.668415220453303,6.271141969717872,6.408303986515525,6.271141969717872
15,5.6937856787151855,4.900041751600604,6.728560248475638,6.983191671897755,6.728560248475638
16,5.984788927994964,5.108315505357917,7.264587281333739,7.521345017294441,7.264587281333739
17,6.285614980016571,5.340440981293652,7.721273453549,7.926897665490107,7.721273453549
18,6.606019670059129,5.6030867325205005,8.147049303950649,8.25626208978123,8.147049303950649
19,6.947558935829553,5.737796975252901,8.677322420083062,8.685421991589763,8.677322420083062
20,7.190834396675105,5.921040702737219,9.144823317040407,9.108356010045135,9.144823317040407
21,7.437041232742054,6.064523008817206,9.611137552099605,9.549594030187794,9.611137552099605
22,7.685451232037406,6.366769256334793,9.967529281160543,9.86022635549246,9.967529281160543
23,7.9074019928816925,6.567788403411019,10.348216680591317,10.165761661568775,10.348216680591317
24,8.106742206820657,6.978348971835459,10.811407058197176,10.40690909139818,10.811407058197176
25,8.399172371404621,7.199886589297185,10.811407058197176,10.645501910349184,10.811407058197176
26,8.540176023808883,7.384483869278935,11.091247050038875,10.927517505076434,10.87491859184247
27,8.71123312227776,7.5906814228381325,11.258427267247077,11.095377488300555,10.923190266065898
28,8.964665974841289,7.86535792987547,11.500034392386201,11.180880839609673,10.988298706873746
29,9.182527296812008,8.133849767359077,11.775761606317108,11.361012933474251,11.005543588184668
30,9.337939042999718,8.388482888477675,12.049594193535425,11.447458622531284,11.050357900123798
31,9.496158272004617,8.646929529378436,12.280863050168575,11.583302802916332,11.095905661646942
32,9.675857029498498,8.914089250772355,12.61407948550595,11.707989275754802,11.144202671403452
33,9.83196615174455,9.042646535086849,12.946593143277832,11.803593330148368,11.186157222073327
34,10.049845900311535,9.21028062452648,13.308882553935685,11.926550103971623,11.237993362642342
35,10.22653394405182,9.415877968881917,13.64419222822975,12.045938243403443,11.2599859854934
36,10.4039189948843,9.722611102125203,14.013779786265355,12.199242093184083,11.299918686646656
