Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.2576477579026334,0.41059884013588277
1,0.6209345560734809,0.9293260897096653
2,0.9879013082189552,1.1879497275556994
3,1.190450929204781,1.4022171293048902
4,1.4036746589053168,1.6658566175507896
5,1.5803588164141085,1.895056427553974
6,1.7797395154720639,2.172539577002761
7,2.0383938474112027,2.3950040643620953
8,2.178444577351878,2.5960726563235736
9,2.519849011028998,2.753853164450518
10,2.7243854087967083,2.987946509956397
11,2.9199704704329354,3.1426040454913555
12,3.1850351210061834,3.3535347171171552
13,3.4461713408629557,3.5533228089719415
14,3.681204897248361,3.7647757797664547
15,3.837181721571479,3.875646342917777
16,3.9663413724690755,4.131235581038519
17,4.121596668192621,4.332008047656275
18,4.2895192142736,4.494443739037549
19,4.504563291389769,4.588366176529474
20,4.842928094776722,4.833636230450095
21,5.082175894804627,5.017244686378553
22,5.172766870474711,5.176575827278116
23,5.445322031076302,5.368043945814217
24,5.556868704678249,5.586958574839012
25,5.791299983500998,5.875584781982753
26,5.929693219376822,6.000036401556613
27,6.05144430280796,6.157491024432229
28,6.356286893509278,6.334984790866559
29,6.485984067673781,6.6329099529016515
30,6.5840117409113095,6.824305062932258
31,6.687349656375784,6.956097314303433
32,6.79013229571206,7.111546150783416
33,6.885567201628217,7.372796440486748
34,7.094256681858089,7.628881064734065
35,7.2262838673268615,7.801776402120358
36,7.361599508045916,7.869270681551266
37,7.490641555172829,8.038818418004851
38,7.557142129432954,8.196784960045857
39,7.775678832914705,8.232320477895609
40,7.8865761871500935,8.434430790731032
41,8.15303931347071,8.478035811878973
42,8.381168331053331,8.624924027699878
43,8.48234821520489,8.699104601954755
44,8.654160366666572,8.811838637319774
45,8.849791170055145,9.020384289181582
46,9.006759454901053,9.243192301454952
47,9.106692711331096,9.328680027731476
48,9.250423487001429,9.496903527285165
49,9.30237255352438,9.587938972181774
50,9.434174542723806,9.661555784679356
51,9.677103424187413,9.707242560981816
52,9.86115820761602,9.909608064000725
53,10.016372983248162,9.969967976590171
54,10.159795083046626,10.088860003322413
55,10.365481816171922,10.2770744712618
56,10.52328462011038,10.38132266015919
57,10.615189078193177,10.5905723021352
58,10.6904842309236,10.701797152919603
59,10.75782305924918,10.891893884837678
60,10.822711326028164,10.961050162667059
61,10.892190751736786,11.04333300553683
62,11.020702282650285,11.118216360487386
63,11.129147837083682,11.167361804062313
64,11.177174505273582,11.33762298957914
65,11.272389455066866,11.436225279120139
66,11.381048227090075,11.506111924070014
67,11.446496246230238,11.606124099096427
68,11.62662525488238,11.73697685264713
69,11.726671086079719,11.858321106702295
70,11.857431576452523,11.95176369255849
71,12.111698541403424,12.034464137833362
