Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit
0,0.35307156456623706,0.3345228898721556
1,0.6546022073906921,0.6488742387977915
2,1.0206949587468297,0.9929652008021858
3,1.2774193615605516,1.2439015184169817
4,1.525152622279737,1.5482846687826324
5,1.8482499978322011,1.7344830811428817
6,2.1241037725191925,1.9658759570035644
7,2.2656742650369743,2.137072585962312
8,2.5545043654445823,2.2922555211016746
9,2.754638500095594,2.4309678678855704
10,2.897014341723737,2.566436524856072
11,3.06488734815813,2.710887902991433
12,3.2951199999813348,2.8614619736763682
13,3.5817246115409125,3.0120360443613037
14,3.8316787361613884,3.162610115046239
15,4.161462321788308,3.3048095095863497
16,4.343591609186465,3.464856703827272
17,4.523602473241736,3.615430774512208
18,4.62279234301805,3.766004845197144
19,4.86681885841696,3.91657891588208
20,5.018525836290656,4.067152986567016
21,5.26076302143997,4.217727057251952
22,5.517345167046189,4.3683011279368875
23,5.59206544757091,4.518875198621823
24,5.649439381062898,4.669449269306759
25,5.837636311249608,4.820023339991695
26,5.949350916697719,4.970597410676631
27,6.017829558832906,5.121171481361567
28,6.190025461796907,5.271745552046503
29,6.2713759682022765,5.422319622731439
30,6.376393605173909,5.572893693416375
31,6.4541398349704435,5.7234677641013105
32,6.54649615151928,5.874041834786246
33,6.700434203435604,6.024615905471182
34,6.8028776523839785,6.175189976156118
35,6.943735793435157,6.325764046841054
36,7.038987300979679,6.476338117525991
37,7.117681541270334,6.626912188210928
38,7.231603661722287,6.777486258895864
39,7.349546312774207,6.9280603295808
40,7.4672213352239964,7.112542300465232
41,7.696591905286391,7.249359486115313
42,7.794711822271756,7.386176671765393
43,7.978764927220942,7.522993857415474
44,8.215520008718356,7.659811043065555
45,8.423011656284006,7.796628228715636
46,8.623911638575898,7.933445414365717
47,8.811179619763099,8.070262600015798
48,8.914558493793267,8.20707978566588
49,8.960553580506096,8.34389697131596
50,9.034890194776548,8.480714156966041
51,9.141674269728837,8.617531342616122
52,9.246599299900096,8.754348528266203
53,9.37089955210394,8.891165713916283
54,9.56349138581646,9.027982899566364
55,9.642049897049082,9.164800085216445
56,9.691333054921376,9.301617270866526
57,9.814743036037237,9.438434456516607
58,9.969540935775616,9.575251642166688
59,10.05224187626741,9.712068827816768
60,10.125770430319456,9.84888601346685
61,10.41113301773969,9.98570319911693
62,10.428110647218237,10.12252038476701
63,10.497927165473694,10.259337570417092
64,10.51490479495224,10.396154756067173
65,10.686746400799226,10.532971941717253
66,10.703724030277773,10.669789127367334
67,10.815360294375923,10.806606313017415
68,10.881572149760395,10.943423498667496
69,11.110523333098506,11.080240684317577
70,11.274391088773472,11.217057869967658
71,11.536936851132927,11.353875055617738
72,11.630110264866477,11.49069224126782
73,11.694272716175785,11.6275094269179
74,11.794828334751355,11.76432661256798
75,12.037807630531958,11.901143798218062
76,12.146153269274361,12.037960983868143
77,12.163130898752907,12.174778169518223
78,12.224098508132075,12.311595355168304
79,12.326963777395061,12.448412540818385
80,12.371898610846724,12.585229726468466
81,12.55940797323955,12.722046912118547
82,12.576385602718096,12.858864097768626
83,12.817052803888012,12.995681283418705
84,12.900463139680017,13.132498469068784
85,13.041642453395326,13.269315654718863
86,13.116280745040601,13.406132840368944
87,13.18132699626394,13.542950026019023
