Time(Iteration),EpsilonGreedyLinearBanditTheta,LinUCBBanditTheta,LinPHEBanditTheta
0,0.996636419622928,0.9919475134535128,1.1194729963791592
200,0.6671603517250563,0.6006270692709451,117.06192231230644
400,0.6070822213176085,0.5914050948698145,224.68702997917404
600,0.5729508146993413,0.5886126920664058,333.208084319877
800,0.5422451440182028,0.5893037419112215,444.7142337058423
1000,0.511764027967083,0.5896830096691282,553.4967178156942
1200,0.5263640966344868,0.5912468377624058,667.4514978068551
1400,0.5047434622078502,0.591242651979175,774.7083442202313
