Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.37934410323997375,0.4107866133962827,0.4107866133962827,0.4107866133962827
200,28.467948230201404,31.37323029410111,50.8854662748998,28.40045295226339
400,43.96078565594051,41.26412893268542,64.80740210241471,35.15794989185419
600,55.03171658833054,47.01714211895823,69.76795272781386,39.5482619157312
800,64.29390273159633,51.224313361459416,72.53778130898561,42.403228500992284
1000,73.45847134355299,54.952443855176,75.21255716020373,44.3045893405214
1200,82.57140862076747,57.89892080250884,77.11454011288427,45.810137409185955
1400,89.11717316589952,60.43517714400684,78.601148567248,47.41687034361096
1600,95.84582848911492,62.684897582081476,80.1022797246417,48.75864772589354
1800,103.43285043613778,64.42346793012703,80.83807180912383,49.99897932600361
2000,110.49467306273134,66.11944061969199,81.9759518400943,51.10881786087175
2200,116.30502033074006,67.66081233324005,82.7033895732559,52.13702280504513
2400,121.76271550949727,69.35041993404036,83.37410325638042,52.884618927068644
2600,127.18812136015376,70.52005836406786,84.01496548534702,53.78844366144479
2800,133.1344138112207,71.74959139900179,84.6632517500121,54.554013697602294
3000,137.95408183423518,72.78641066502504,85.16301539578716,55.35876468524233
3200,142.90570240343888,73.74563732239861,85.63638626784594,55.98880513922651
3400,147.3541234444454,75.15717515322402,86.04236304664602,56.577953893982375
3600,152.7856518388469,75.91206504027645,86.41626772119896,57.22682920935281
3800,157.74645100606568,76.8804260517029,86.96351856035312,57.74726308145565
4000,162.29861969882379,77.60204394363177,87.44616273755612,58.26110824954549
4200,166.47499872304766,78.1326755421886,87.75770341004252,58.73306282262164
4400,171.46433811863363,78.77534081147907,87.90980009603892,59.13355733602966
4600,176.08196811094206,79.66022932862819,87.96118799436184,59.524600212163215
4800,181.13160076815572,80.69214258240494,88.3151226114766,59.901757745365344
5000,186.2257531890812,81.14357061752057,88.60978963121633,60.29094529808573
5200,191.405670451031,81.52009700758495,88.7484650462557,60.69955768961953
5400,195.9488335516115,82.2620054410417,88.96400053410653,61.11029659166328
5600,201.46712973972188,83.08896305024712,89.28006033787825,61.42188186935842
5800,205.4541030038767,83.67196008726228,89.54877158260572,61.83908488150665
6000,210.01247765602193,84.2087660949191,89.70089850465567,62.26019589298858
6200,214.27403422323385,84.70928578559366,90.07440806001553,62.59619467238042
6400,218.87114007845463,85.46455075550887,90.07544027402402,62.95828878939868
6600,222.91721463956864,86.14553133762224,90.33003779058703,63.326818617036324
6800,227.07994535898692,86.56782722527078,90.60536104960177,63.725986034061464
7000,231.61408105210586,87.3710850750412,90.66769312434664,64.03594989025427
7200,235.78552950548857,87.67047352805075,90.81573103190604,64.35887114149612
7400,239.4306827772803,88.15952451333875,90.9289273463375,64.7242437540761
7600,243.9354507956109,88.66126453369381,91.14584540234608,65.03328687358145
7800,248.15230686806893,89.05504679609422,91.31026084742167,65.30864012073869
8000,252.05775543230115,89.59918285756702,91.56656495990948,65.65280119743434
8200,256.5326724766833,90.01232199395291,91.76146577422269,65.97794198543862
8400,260.30657201027026,90.64859737329536,91.93222141416622,66.40259573900161
8600,265.0136655369114,91.11415154521245,92.26852205261363,66.66001240466969
8800,268.45740455261773,91.46860369366348,92.45150666857356,67.02071744168927
9000,272.1244834569108,91.61402410626583,92.74536401422988,67.32093699501245
9200,275.49146591502955,91.91621638566164,92.93189486073994,67.56251062265619
9400,279.0974381535235,92.31615159994719,93.08417263370572,67.78520123505515
9600,282.4102586396834,92.65441139067053,93.14037002029205,68.12564632044442
9800,285.9700644490728,93.0814894213737,93.17025202930759,68.36786514727605
10000,289.62933705477826,93.53067815492075,93.38700652189065,68.5877138911547
10200,292.74404253603524,94.05879322527986,93.4575833507948,68.8394086123623
10400,296.0737767769694,94.42615334875663,93.5798081144052,69.03135614056892
10600,300.48953163762366,94.87130033924441,93.75102470723922,69.2060474836019
10800,303.61505946209553,95.21809111039617,93.82586953299678,69.51444766158465
11000,306.97989661318536,95.71834846771374,94.22043821084993,69.85233045063654
11200,309.20195998012883,95.9646425179877,94.35557379457182,70.01754334919188
11400,313.30944054786573,96.20580920259819,94.41985967335506,70.24434515824387
11600,316.08084880126313,96.41755941959914,94.51532326770601,70.46115217041583
11800,319.66095971057655,96.80844153614854,94.72072660102671,70.70057147203397
12000,323.19099690027144,97.15040167862763,94.91291510300917,70.8781675565601
12200,326.4494251155169,97.3322005737025,94.93069770602497,71.11396894687692
12400,330.0416563430071,97.83468967582897,95.0892709591191,71.24988579029278
12600,332.45249232879297,98.19333310929986,95.16769517180056,71.45028305134443
12800,336.1398395587763,98.34166446545889,95.25803297017214,71.59972614893574
13000,339.2193523031527,98.69096236158154,95.31601617591512,71.79193691380182
13200,342.92231765580874,98.81335072446745,95.42371806434144,72.03951125439394
13400,346.8015223044803,99.06265611525275,95.44567186385046,72.24026502773063
13600,350.33631751551144,99.36049647522574,95.57378205983703,72.4271452822098
13800,353.7583108918717,99.56797227742092,95.63195751614431,72.58082572398715
14000,357.3744556309711,99.836732044882,95.69301089683489,72.78245022445947
14200,360.2749251959691,100.07491585596173,95.72127955441177,72.95052775966438
14400,363.4278827234193,100.23507674691186,95.79081368471749,73.12724175296515
14600,366.956203233392,100.72042075457033,95.9480066048866,73.31000427380425
14800,370.55657258413146,101.11624443007761,96.1160889588984,73.44638154072483
