Time(Iteration),EpsilonGreedyMultiArmedBandit,PHEMultiArmedBandit
0,0.44530423513392464,0.44206217152958793
1,0.8672090655027219,0.8684206680983078
2,1.2787707510514128,1.180311475127438
3,1.7369331316667285,1.5833309592331635
4,2.0795717921957833,1.9271882159780773
5,2.4558311435622415,2.263286987730866
6,2.8134263390968366,2.7096991488413873
7,3.1675522153867446,3.073521759060353
8,3.482832448301898,3.476608454216163
9,3.7774412740194387,3.884726293162278
10,4.067353863394853,4.369801910419055
11,4.414198178092613,4.797240155421355
12,4.743541746716252,5.1753257928439975
13,5.022157747444505,5.630760382388667
14,5.162612597964952,5.945432081170786
15,5.352702880831543,6.5012207414610685
16,5.503785878949137,7.047638866534641
17,5.854113470559287,7.341804048430268
18,6.077011069356944,7.844042857328662
19,6.3135828230028945,8.222827848638648
20,6.624482348503539,8.609901081911902
21,6.830493782044522,8.897883793058453
22,6.993184743493627,9.263094981700938
23,7.240629379525163,9.715385181151923
24,7.373283185177025,10.060561415546598
25,7.590076302987209,10.342469675069738
26,7.763504887538062,10.696624011308499
27,7.915071520550924,11.052843979677167
28,8.001242579586316,11.381037568292127
29,8.086593188497973,11.745366909163986
30,8.280180424306225,12.064138819366288
31,8.491803320520562,12.360334937717345
32,8.577974379555954,12.687750589207253
33,8.772706686565247,12.871201712046485
34,8.95774847737837,13.240878407708063
35,9.043099086290026,13.671721255358241
36,9.222239012480028,14.05925330656881
37,9.337613814060607,14.434409251668049
38,9.448772368714764,14.706947635076395
39,9.596918815435037,15.106427771861084
40,9.78094570940566,15.510658832153169
41,10.026249611093897,15.997220467917193
42,10.328051774076634,16.5909751405996
43,10.479739584030737,17.031959836575986
44,10.692208587320346,17.52887009121865
45,10.84784804467196,17.948425060689697
46,11.181875854973208,18.497337550875923
47,11.390683081737023,19.03922375929433
48,11.47603369064868,19.66720723800183
49,11.584073447044327,20.121122831093178
50,11.669424055955982,20.466958448649386
51,11.908944532135266,20.703476535546223
52,12.070341196327636,20.95526733585218
53,12.376497583984449,21.211851069825617
54,12.50965725086074,21.521750113968444
55,12.70306102421995,21.82935435508771
56,12.905470235357967,22.168440207800664
57,13.061528245067027,22.444744561158277
58,13.246660156143832,22.82022316284844
59,13.438112991767392,23.266524867428693
60,13.620158317580515,23.704815260481443
61,13.72931262920431,24.079397166651823
62,13.884895677953107,24.513930668693938
63,14.015951354698558,24.86527388618562
64,14.169509972734323,25.283514783949922
65,14.415701657614386,25.68048744813794
66,14.591642093186996,26.07504599643577
67,14.755920467495963,26.544421149696365
68,14.841271076407622,27.09468851510207
69,15.061025071292338,27.522888671526015
70,15.19929722699587,27.894070566238536
71,15.323527045882354,28.506801714615726
72,15.408877654794015,28.95723864152338
73,15.543019609607807,29.57042377200395
74,15.679363185563266,30.08675970973046
75,15.900904281200152,30.380535544285017
76,16.017082583438434,30.659084227051522
77,16.181054927382014,30.954136926217974
78,16.373276079362615,31.25029853694914
79,16.503937914209565,31.537649177897123
80,16.73841385756378,31.896323766302498
81,16.87773031433294,32.14601614368702
82,17.01124802109402,32.55885257664754
83,17.218884389012494,32.848877376855306
84,17.34650397087946,33.18264619268165
85,17.50817901823773,33.60377760403908
86,17.62223480806545,33.98342898571196
87,17.876938151098155,34.38598272790511
88,18.109121611897976,34.80618676021634
89,18.220145442295834,35.21525061066335
90,18.35713717800463,35.71010690353809
91,18.569974184886966,36.22646089836383
92,18.834999075152545,36.67071993151323
93,18.935474751687167,37.10053499283835
94,19.07565178039484,37.44772407357774
95,19.22091581231057,37.99490986654153
96,19.428172938311288,38.512716151482685
97,19.58461271310707,38.9305205814697
98,19.753609079998615,39.47941797586427
99,19.921311415498884,39.96290829486281
100,20.129806773545585,40.38032911335451
101,20.274057983481875,40.66223703917862
102,20.37441135764161,40.88780365388626
103,20.586707615650372,41.197825737489374
104,20.714611999074616,41.54967842638276
105,20.77810459113827,41.95881368706729
106,20.860514531914003,42.312337728958724
107,20.921636710432175,42.53051510098461
108,20.965795651166584,42.87455341689592
109,21.055772494975145,43.187539535803076
110,21.183478940399254,43.588433202690084
111,21.260292461488657,43.955645483271454
112,21.46320805013422,44.29329243612692
113,21.703440658623165,44.741961586830584
114,21.884301743364396,45.095057789543176
115,21.91955115388534,45.45415528062027
116,22.14025655715175,45.86065629192454
117,22.195325386148916,46.23644914864896
118,22.39990633580398,46.67616037227801
119,22.435155746324924,47.09189034213704
120,22.53173188074761,47.631996415612434
121,22.699440851857958,47.96660011866697
122,22.7346902623789,48.396034787052855
123,22.805582945951652,48.85643263644975
124,22.86233250493381,49.30326357427978
125,23.10144170865851,49.69433451794536
126,23.195061739582293,49.958602615858254
127,23.319893345567998,50.36634152118046
128,23.345530457133442,50.74788410442331
129,23.430164869523228,51.0629709853978
130,23.62933501267652,51.516845557358934
131,23.803870491299556,51.860269586364055
132,23.918950068284722,52.130690014170156
133,24.004046696046842,52.56593700225521
134,24.17204016605798,52.9273753043171
135,24.208448654128,53.303892345954
136,24.3526668856668,53.70681144320777
137,24.425107745033504,54.08131317713163
138,24.46283132363827,54.50329847615616
139,24.561075461733488,54.85929384579388
140,24.604399730009643,55.318774934237624
141,24.761974492411753,55.78300042855612
142,24.7876116039772,56.11029937239688
143,24.828836537031904,56.516113528830864
144,24.978072746996652,56.92489477887269
145,25.086271138050357,57.30140660525931
146,25.231686634852018,57.69448383173368
147,25.432869718688927,58.111988349722324
148,25.458506830254375,58.48312908620896
149,25.484143941819823,58.95074962280673
150,25.56662168519015,59.252471813304304
151,25.645970997254427,59.67778604024862
152,25.751190512071076,60.09629487263187
153,26.00730591998279,60.534492981623806
154,26.109396103635788,60.824279283816246
155,26.18603164519443,61.21350388374931
156,26.234357904243858,61.63911632176142
157,26.259995015809302,61.90819040312274
158,26.3186630051363,62.352921813161366
159,26.431404617168305,62.6395513193728
160,26.62440933329529,62.98916992729731
161,26.83290807229607,63.35460637421998
162,26.858545183861516,63.638584525396695
163,26.999816377735318,64.03870941537654
164,27.05046668485134,64.40520603043069
165,27.07610379641678,64.85322491744631
166,27.123052175484723,65.23317205346629
167,27.169126238193172,65.58806535880304
168,27.24168744443753,66.0106231434874
169,27.397960263525142,66.42742959024612
170,27.493213986586596,66.77589269395901
171,27.61045521819556,67.14710755731106
172,27.748598660155032,67.57603555498555
173,27.92181420598856,68.09085877111927
174,28.112973564269698,68.5193124804966
175,28.186590441006693,68.91466813045844
176,28.282284329222858,69.29171040042328
177,28.317773996645798,69.75435933894022
178,28.374214442101255,70.19247045120026
179,28.417344573163586,70.60795438181688
180,28.61438073003988,71.00044983703859
181,28.661728246177482,71.35559187836054
182,28.752233198795807,71.87536052391354
183,28.851706324129243,72.23650048484049
184,28.946419536465356,72.68310226773086
185,29.138713299630062,73.1419821719849
186,29.164350411195507,73.4614887140217
187,29.26350114058271,73.67461087584883
188,29.36136345020251,74.00214901295212
189,29.473773906751074,74.47277070579004
190,29.56761902744062,74.78441790199916
191,29.733362597808803,75.00645770045227
192,29.85668198385978,75.46679443252579
193,29.952548676016477,75.78739544185318
194,30.06852178275999,76.11785758967858
195,30.147757833166004,76.4449915405654
196,30.410804360489664,76.80319178905043
197,30.466630841206772,77.1520276196681
198,30.492267952772217,77.59759234291893
199,30.561072564561204,77.98973014538562
200,30.586709676126645,78.47532402258585
201,30.678317590698565,78.9670333472292
202,30.811232670841708,79.39620423912443
203,30.948252649431556,79.7202608267103
204,30.991837068147582,79.97537388252879
205,31.083936518606873,80.36687326048724
206,31.252578607993957,80.9166236129013
207,31.353590951615672,81.38354137066999
208,31.46396437296653,81.83397442476085
209,31.62205109517177,82.10923578894695
210,31.673565233782607,82.54632906332071
211,31.81922666420914,83.01742088299977
212,31.916356720018218,83.44211375096499
213,32.02285342292021,83.87324822229124
214,32.230822705503314,84.32521495178803
215,32.29983133826374,84.67893191390152
216,32.317847003980376,84.98061545493357
217,32.373093716264535,85.41286113142958
218,32.40347145342763,85.79562783508072
219,32.42148711914426,86.17133630948436
220,32.57985034661698,86.57497379880287
221,32.70075684680381,86.98259259382188
222,32.80828034257057,87.45610479175318
223,32.90904939483841,87.78016303368635
224,32.98596566157968,88.19622942420217
225,33.14677931368944,88.61903075045461
226,33.21816449721412,89.06253588738608
227,33.23618016293075,89.53843745314211
228,33.25419582864738,89.85497865035151
229,33.3290521261689,90.20485429511147
230,33.472248359153596,90.68952918741918
231,33.67781423912789,91.08980140741406
232,33.7195893659332,91.46906418065905
233,33.80767207790008,91.85866860467773
234,33.87366750878827,92.17126447448328
235,33.92248650839492,92.48622395861727
236,34.09265800199523,92.79650460080786
237,34.339858398870334,93.12870021209281
238,34.49948786255862,93.55112534340603
239,34.58781093667315,93.94892158191088
240,34.80783030287016,94.3614749575802
241,34.97683000416431,94.75747345159873
242,35.057195333467334,95.13481356074688
243,35.177486216172056,95.46696826279215
244,35.28477700134893,95.75618039386953
245,35.34432233523422,96.14302488373785
246,35.4142393945425,96.56610343097304
247,35.45092922045084,96.95061507087466
248,35.46894488616747,97.31084356700681
249,35.53964493205088,97.59043872907434
250,35.55766059776751,97.95504201281916
251,35.597989678239955,98.37904324636912
252,35.67067013945231,98.79429668069298
253,35.79553423752389,99.19300651835502
254,35.96759756422946,99.58159301860351
255,36.09153779161737,99.95873269632017
256,36.132522960405325,100.30531711376288
257,36.23498060628906,100.67678999143043
258,36.28467922164391,101.07770346637125
259,36.333498221250565,101.40882961440408
260,36.38387977512538,101.76663792127546
261,36.40189544084201,102.22217835357793
262,36.47206894975687,102.58788317644269
263,36.4900846154735,103.01297437017975
264,36.53682261411217,103.39397877627364
265,36.689790298485114,103.86053870669016
266,36.713724850255424,104.27926595530357
267,36.83278470713207,104.637823023031
268,36.903159229529095,104.97498256942951
269,37.000757298496936,105.25602695354853
270,37.04495608493955,105.57623091732557
271,37.135204508337665,105.91683266895484
272,37.1532201740543,106.29725385042029
273,37.17123583977093,106.82016701914242
274,37.18925150548756,107.17926031428958
275,37.22586371122422,107.57279888583216
276,37.312603288478165,107.92453600502517
277,37.381611921238594,108.26104946529816
278,37.437252469182326,108.59971955482004
279,37.56604315919386,109.00843708167731
280,37.69686465847898,109.2913812672987
281,37.77363818470546,109.81461831311712
282,37.88120928065056,110.24828999849812
283,37.96913427519709,110.66403188680522
284,38.0164817913347,111.04689380905288
285,38.075513464329596,111.35844924922608
286,38.1407400636458,111.71568316261951
287,38.15875572936243,112.19798018109593
288,38.277064691085805,112.52941473201273
289,38.35394902398583,112.90449789994997
290,38.40623495592179,113.26255093892118
291,38.49773439263377,113.55047563839442
292,38.5157500583504,114.00119932017677
293,38.56803599028636,114.36584148820812
294,38.586051656002994,114.81671332232824
295,38.641468148096024,115.22678791880136
296,38.732294200098835,115.57811238456202
297,38.79524629464402,116.0004639101974
298,38.83974164748163,116.39065858222435
299,38.88433284993753,116.73355092050137
300,39.009699225780196,116.99303746685614
301,39.18284535063388,117.32678629045213
302,39.200861016350515,117.79589621976197
303,39.24882097097397,118.19268030916719
304,39.266836636690606,118.56816518392368
305,39.391532248751126,119.04210086994058
306,39.46706380825596,119.41282784917306
307,39.48507947397259,119.84978541307578
308,39.60215760952558,120.1911518859877
309,39.69983258456979,120.66710313446711
310,39.810806582586665,121.03716359070752
311,39.83475724513389,121.37006981739589
312,39.867936349263324,121.78644816772757
313,40.021615152811265,122.26128631898601
314,40.05366494394063,122.57605332248238
315,40.057351580555675,123.02842752093802
316,40.06103821717072,123.42546727217061
