Time(Iteration),EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit,PHEMultiArmedBandit
0,0.38366300010661963,0.3699502336921925,0.3699502336921925,0.3699502336921925
200,25.5456843695545,29.809566438263584,48.91205218942039,27.723909042413442
400,37.099900165504465,41.35934935009057,62.6323191796465,36.55766375782538
600,47.302796838772345,47.92634579690752,67.70205285956187,41.702846772145485
800,57.897304939214806,53.032625370314484,71.27670875078019,45.46514585146607
1000,66.7606828696392,57.5896142005757,74.20073793758785,48.64648623392209
1200,74.64577966494656,60.93828690124194,75.787611526108,50.93202287593082
1400,84.19627375038007,64.03380061455408,77.54235812405865,53.25633133826695
1600,92.06366784327227,66.78967409789479,78.69461970165875,55.14695558766065
1800,98.58397385322475,68.9716384923266,79.76630102701318,56.76795530949437
2000,105.43678221764398,70.9933915956573,80.86060963909146,58.193486923060235
2200,112.5016143049756,73.19516222742556,81.58758741252497,59.313989114045945
2400,120.51951433467259,74.53067564206589,82.39276106744202,60.55097989257571
2600,127.2505253650792,75.7585967977467,83.01067501162123,61.604758021215765
2800,134.93354974089067,77.38158970772399,83.44288645734532,62.67140342223714
3000,141.12691527964463,79.16022241313355,84.02526990743569,63.76646775372255
3200,148.59979907938117,80.90304385806948,84.5495834705032,64.57132237373426
3400,154.96520904499403,82.53918337253042,84.97876661384184,65.27444254041544
3600,161.3662375710431,83.62683658761544,85.03919446079938,65.9983634901605
3800,168.4976304392645,85.0216478192481,85.53809705922798,66.89434336928585
4000,174.51900656690202,86.1589422739967,85.82025177605948,67.68880341395864
4200,179.89643547283555,87.19046556758241,86.2097486385534,68.31497411404646
4400,185.79364743648097,88.26031360103202,86.3774218600329,69.03499173807856
4600,189.06698796046288,89.05281817475883,86.61117466976238,69.58684249641409
4800,194.3399988216908,89.73018764133693,86.80367736085005,70.29858070116728
5000,199.82886183245617,90.5209345065482,86.98477416440613,70.8802056032054
5200,204.8700694647799,91.62857412884051,87.54556876824797,71.38431366522516
5400,209.4721563682512,92.30527984943696,87.81006412126133,72.03835911425733
5600,214.45871602297697,93.06321883418642,88.12438585316806,72.7679000337911
5800,218.96424087790942,93.92168657908499,88.35131587247228,73.31103308951097
6000,223.8687552838121,94.62005771538301,88.81948812680876,73.87223989578442
6200,229.36008950558818,95.27082398487173,89.09905516239174,74.29500392300623
6400,233.48287952422828,95.72425018866532,89.33675017748027,74.93073465082439
6600,238.09347247540867,96.31938130226078,89.5417893472274,75.46368152034123
6800,242.51226280020654,97.25284766183675,89.62434616888875,75.77350256710028
7000,247.24880806007036,98.32965688959001,89.87795043888526,76.28724519890336
7200,251.58920656887852,98.6128244868587,90.02493582713716,76.78523767459167
7400,256.3233204772297,99.02279124888665,90.24950279274158,77.19997367271625
7600,261.1902555821724,99.6777571494503,90.53046081417122,77.67215701630538
7800,265.742284808353,100.2310048458169,90.69031552970907,78.10158853464443
8000,270.28210502118964,100.58112946990937,90.88275861064162,78.48843592690935
8200,274.0405366536687,101.03394258749879,91.04103873468705,78.91861761558546
8400,277.5802542781147,101.5686164971568,91.17138030809544,79.28811992445875
8600,281.3165262126087,102.09038124885838,91.37003998342323,79.6490511115761
8800,284.8591138565605,102.5328823796502,91.44867264759368,80.05804136356123
9000,288.65907056938283,102.90277250733155,91.6543601277942,80.33436571176792
9200,292.217184342948,103.33698997592839,91.70031972696111,80.73023551202988
9400,296.5710783074966,103.84323862091246,91.87364868831483,81.10110614966013
9600,299.980279290077,104.52352512314306,91.95500910298003,81.45071567493908
9800,303.74555470558346,104.79752668513444,92.07707661728872,81.80369292144724
10000,307.39224249050693,105.14597291668159,92.19534526057475,82.08282843724339
10200,311.42230935249756,105.54662721297666,92.33536866981092,82.47708543761576
10400,315.4266098099071,105.71932676488443,92.5923658351137,82.71950602349511
10600,319.0581852830728,106.20464680826369,92.69580140863143,83.11232427801997
10800,323.19431711122394,106.76429908829951,92.74722397071743,83.4912477024084
11000,328.3445400021368,107.13234820542364,92.93657756066304,83.80242980508271
11200,331.8821691784687,107.41915469405414,93.19767512906385,84.14378357019339
11400,335.37268845142546,107.74498640560871,93.40406275115093,84.36230895992938
11600,339.37864537020016,108.69688926966619,93.51393864536023,84.60290032607472
11800,342.47513216442115,108.89791537403589,93.60297561086244,84.95070193002498
12000,346.0352072904936,109.33517382766608,93.7905991700392,85.18223578520741
12200,348.7177879179828,109.83947643223314,93.82994575182383,85.37839057415286
12400,352.54323325890977,110.44060768966035,93.83335584437563,85.71552872522469
12600,356.55339765877113,110.62152545336323,93.90989736268979,86.04818540605204
12800,359.9897653779645,110.83781312028077,94.13237798427873,86.28420220784065
13000,362.79935503182844,111.28446880684935,94.14398169842148,86.61469261706443
13200,366.766687078934,111.61068430046052,94.1851880143985,86.8776957394965
13400,370.0456873478805,111.72602535280427,94.26680400043516,87.0959537859755
13600,373.28120193690177,111.9463149438136,94.38617167503482,87.3247269448529
13800,376.4037354461545,112.22669252576017,94.48403502779198,87.57840579845738
14000,379.73690502284796,112.61478659720017,94.5383936268936,87.73941399064836
14200,382.90657469468175,112.80508816910042,94.60355147939964,87.99993142049375
14400,386.3340792699347,112.99721483773286,94.64675266254423,88.14675103192272
14600,389.9200601281991,113.31326170829834,94.70978865355042,88.34120225857478
14800,393.22682590679636,113.50607877439029,94.76782272685652,88.56586354019139
