Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
0,0.4235456875760083,0.3139790802664453
1,0.8372479263484026,0.6304241898439601
2,1.1755231896503895,1.0246846971167742
3,1.5526559021507411,1.2914346864418107
4,1.8859954386368059,1.6307654937281193
5,2.25512774178661,2.069568625405311
6,2.5433302558042237,2.2528066544782357
7,2.8600354262396572,2.473992468307744
8,3.106064419655654,2.6285139987090034
9,3.362996635162367,2.7838171534579255
10,3.48426563978285,3.061706845690345
11,3.6922149243739093,3.2321468319892355
12,3.926540606968145,3.4375652165502
13,4.206246336410855,3.6252216870512606
14,4.378810677439742,3.78617461189672
15,4.497677243319307,3.9605611750673377
16,4.596780614196869,4.142741726202554
17,4.851107512030935,4.335786933706208
18,5.046927932483302,4.522647904779031
19,5.235678217528043,4.7968983529796345
20,5.542752317217657,5.05620708143563
21,5.685423146249135,5.383140218339749
22,5.766028867210208,5.596622268772246
23,5.837671697618802,5.86847991002754
24,6.065277258883134,6.025957699338943
25,6.291721180865598,6.32303086062601
26,6.485232481669039,6.620144192725773
27,6.539150995984241,6.830725161740308
28,6.627351642544828,7.065795401889486
29,6.748711962325359,7.331181380868206
30,6.967242852308051,7.4892343235671675
31,7.090886522776873,7.5931143421998515
32,7.200348709284315,7.750684841675971
33,7.37466953768853,7.976965166147451
34,7.49503906064991,8.301942981387288
35,7.724907994668959,8.600652859849086
36,7.984489673527523,8.725942372612895
37,8.067442885250578,8.93709715397473
38,8.268046166700707,9.069713505125527
39,8.379207165173614,9.260145280320005
40,8.574723619855666,9.440715756669329
41,8.780535749552644,9.66194110522105
42,8.875535565887306,9.783485261990737
43,9.052146831525306,9.930083149870692
44,9.217169345588822,10.133879855925306
45,9.276497283433812,10.410183384433555
46,9.39070544265716,10.544837764690804
47,9.475904654540548,10.701975839331004
48,9.58888201665503,10.916325146932499
49,9.622666227603874,11.099374101405266
50,9.709142917326963,11.220272472557678
51,9.80500206591515,11.359042118912628
52,9.878418981224154,11.536008728215396
53,9.921857677995133,11.69305188007374
54,10.070545705206868,11.85083858649972
55,10.301692629111212,12.025047483443117
56,10.36349761872797,12.191585343008006
57,10.552708204411179,12.323271334751086
58,10.608089890893327,12.415842061149418
59,10.686541928192169,12.556889135236247
60,10.899076161656208,12.718626153816812
61,10.997750586130959,12.791645040592448
62,11.1708752342346,12.993233809139605
63,11.230136293678731,13.211201263244746
64,11.289397353122862,13.503305665833071
65,11.400953827475998,13.62540516253407
66,11.484243991768846,13.788235341719835
67,11.554200011013167,13.91334850192601
68,11.62322456092721,14.00976649754404
69,11.694496455164327,14.178071922581818
70,11.728280666113172,14.319518224709359
71,11.868986130552972,14.496143193184555
72,11.902770341501817,14.574173845506655
73,11.966532770988685,14.736892636106592
74,12.091491298413683,14.908072971662747
75,12.289270366670868,15.152387790484648
76,12.355795540112789,15.28241833405884
77,12.43167203244224,15.455181349289333
78,12.538259087567122,15.569348879364648
79,12.618919528693059,15.712805528750858
80,12.652703739641904,15.865724693243791
81,12.717094786031021,15.951096602540854
82,12.867091918826521,16.13050862546631
83,12.95623001951231,16.154610509677546
84,13.127876355044133,16.21305251260773
