Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit,UCBMultiArmedBandit,TSMultiArmedBandit
0,0.3557869901397927,0.3530904377569274,0.38752207236643954,0.4245028647574459
1,0.7443022211733931,0.7210976816062591,0.7486265058588149,0.780066403358991
2,1.1677169062837374,0.9717239603528312,1.050037111641041,1.1297352276811519
3,1.5991158343083924,1.246125639158621,1.453684305615238,1.4418520354541815
4,1.8368422591697264,1.5566396426483524,1.8940657616526084,1.9446250061407953
5,2.0632534189040674,1.7896873973463296,2.3453184007116947,2.3387716902243705
6,2.3373379456571794,2.0922017160302095,2.7563346897757817,2.779477286883669
7,2.578520919106482,2.3042236264482145,3.137172522101586,3.1859631228819536
8,2.8750746023384957,2.517914744891987,3.5239002233547323,3.5842305187669496
9,3.089059773144367,2.8053686634154804,3.9970180189818727,4.076271318887978
10,3.4605899736075556,3.1019915344016487,4.348362800365367,4.45417531774533
11,3.653807020379675,3.302307432887069,4.676131162383677,4.742061947508836
12,3.856575614116186,3.7266468833652127,5.2736230286960195,5.056122404236601
13,4.046781714086804,3.915468962540016,5.573553911279863,5.443192252543627
14,4.359732178603413,4.161151878276758,5.873940304638241,5.806614749017176
15,4.660671586038771,4.400929524662957,6.279491260062413,6.182975859653932
16,4.815009131825248,4.562596998765685,6.635985809401443,6.584902188636262
17,5.075353940274547,4.825841379940021,7.041894026982102,7.001994433945835
18,5.251902992970734,5.028835748629976,7.493661578049192,7.484154882546174
19,5.440983965519543,5.2785945142346655,7.837533478409972,7.903789702013759
20,5.701436188944827,5.513896174378983,8.308186616543292,8.230262273485744
21,5.938037331713302,5.679359425933312,8.661283243353623,8.572744509122328
22,6.184063327713174,5.901398658898782,9.07498059566028,8.901689003049574
23,6.37487976464847,6.073024176337084,9.377643006344694,9.309008028434828
24,6.579637503604575,6.305029041799662,9.811018795635885,9.762507748725183
25,6.7266109329189,6.496568629582766,9.85047604456465,10.100633446874927
26,6.954088376231728,6.675676286088491,9.966183859145485,10.550936907018428
27,7.090006127752592,6.786771637452491,10.150121087348875,10.929092532680388
28,7.312291517908643,6.924055914967059,10.316716501583453,11.362314031830548
29,7.562723017859675,7.077223283031772,10.545464665938477,11.688473542353389
30,7.68514127842559,7.302241554443529,10.810218924948398,12.063480277154335
31,7.942765220157487,7.520984541422996,11.06338667254783,12.503881243246015
32,8.093588581485053,7.664641649046267,11.318096720511166,12.948534533484699
33,8.36025008082917,7.8247849449314995,11.542216673330312,13.403803691296227
34,8.508426707343,8.085402596033619,11.80848482715241,13.67098969497141
35,8.621946402913332,8.377956731942115,12.24988309493364,14.092576285274168
36,8.739739082168912,8.521817517028678,12.567691706350017,14.493481490283827
37,8.879153051528041,8.620167125933362,12.832783083686346,14.971244856288513
38,8.961695791412847,8.778170963266232,13.20989472044588,15.381314159355847
39,9.065579053710561,8.86558839716159,13.599606756941819,15.83556932797398
40,9.17622522072887,9.011239040803435,13.950143927432999,16.154199985785873
41,9.327658479619018,9.111181686607443,14.214319401292546,16.479021958574396
42,9.392902404736695,9.290046739640186,14.662601278949612,16.94812008134623
43,9.631336995274127,9.463391356957647,14.981996754240996,17.365669585493514
44,9.70570498385372,9.626866826022477,15.304453502283192,17.8517476034382
45,9.818508602602533,9.746411584144864,15.665608772039757,18.135459641192057
46,9.978653853014567,9.850791544525334,16.00447704057642,18.607896750830996
47,10.13360380388282,10.045434556387413,16.432692178545164,19.03799068787987
48,10.325573049752153,10.211176164626032,16.662910534616696,19.591474436971346
49,10.425830324325897,10.354547745296959,16.994694201956158,19.958959678071757
50,10.646147956032783,10.48625465687272,17.227369900281012,20.353148634927784
51,10.879504095016758,10.636185609781588,17.551641521028337,20.807373881006757
52,11.006844164483773,10.909206766958672,17.949743162182685,21.158479809012118
53,11.14095203520706,10.99501786574215,18.28839148593396,21.56509578062498
54,11.302461714711189,11.162052319639523,18.585063421250524,21.842309912077845
55,11.448963438694568,11.242690649004588,18.91175766236747,22.258493032775768
56,11.500717830470236,11.350180072061676,19.26711534368517,22.590825273279027
57,11.542389766073173,11.51138053566455,19.68033884772348,22.948247460644613
