Time(Iteration),EpsilonGreedyLinearBandit,LinUCBBandit
0,0.38031109453466816,0.3185160706068353
1,0.713726662642077,0.6899600426872865
2,1.0165733709068374,1.078535553396936
3,1.2764298917221446,1.4909971959963166
4,1.5017942565553528,1.7599944820714246
5,1.7981706024187165,1.9256543275046383
6,1.9724109963770053,2.2744879975467938
7,2.165623341958532,2.6017939520554094
8,2.3257660858881,2.949973057021581
9,2.6054401398429845,3.238857370132397
10,2.8167902726635754,3.490236067131395
11,3.0100030374899895,3.7602795545277736
12,3.233156200539579,4.053670558153849
13,3.4263953029783827,4.368848508738713
14,3.515056593655011,4.692911675127382
15,3.6991805089887237,4.941912407934198
16,3.8312188020917675,5.26500244165887
17,3.9658551283834234,5.636651291255581
18,4.154496823131675,5.960849336476865
19,4.306796561614929,6.285229337445573
20,4.457201834341707,6.48264577645473
21,4.587249616259291,6.729629626842265
22,4.863921247006295,6.909756864575833
23,5.082355887341675,7.05054074619075
24,5.218317195002167,7.15026036863082
25,5.387539863623786,7.231881408788382
26,5.511120337732292,7.441286518803146
27,5.61954832597346,7.529462616040076
28,5.877412660161785,7.724670717986503
29,6.030085455848839,7.804914739802084
30,6.115206318877303,7.935998681615063
31,6.173710371462725,8.000747628170028
32,6.342267660184092,8.10145726798067
33,6.428242309504244,8.249755214729879
34,6.574422424278969,8.331343399052106
35,6.679423697447068,8.509520678005343
36,6.777273254679294,8.55189507109989
37,6.923090979107791,8.624691179862701
38,7.015190683486084,8.716401581485677
39,7.122673041848894,8.775373190165746
40,7.357513234585542,8.827168589944899
41,7.56184821648404,8.902144827437535
42,7.628024381307324,8.932399436616326
43,7.673386528750737,8.994167101511875
44,7.820794697305276,9.079646480983643
45,7.91977303814261,9.23619672761529
46,7.960955731475178,9.316895192298492
47,8.07671943578617,9.44018679456901
48,8.175882687066025,9.518595126151212
49,8.300032062033804,9.583946778196578
50,8.462754327971115,9.676761690465778
51,8.572394885017868,9.742859483167631
52,8.779665965514818,9.786747374559464
53,8.928312731494021,9.8284412498441
54,9.054895031290489,9.85321796816984
55,9.189466265017643,9.915279562225145
56,9.342184374536963,9.966514464194374
57,9.384092877504468,10.047565990060889
58,9.511957989392167,10.171206326638753
59,9.624241403440653,10.263249862996156
60,9.759555967934034,10.353903818768147
61,9.78065045352167,10.395866630982681
62,9.897984986489181,10.486303913802866
63,10.014630226339083,10.52944935830608
64,10.09606664676814,10.54771300533121
65,10.21070373618762,10.584201657961033
66,10.437091966001471,10.653720889328092
67,10.591347571312294,10.668314591280502
68,10.748649656275708,10.799774460586786
69,10.809468208695382,10.81384188922076
70,10.961474833903358,10.856594289185145
71,11.012235573613555,10.916077067256737
72,11.13386179116014,10.974696879859838
